window,scope,i_start_year,i_end_year,hour_in_week_start,hour_in_week_end,depth,mean_soc,count
20-100%,week,3311,3329,119,137,0.335958574563623,0.3679792872818115,1.0
20-100%,week,3295,3305,103,113,0.8000000000000002,0.5999999999999999,0.5
20-100%,week,3305,3331,113,139,0.8000000000000002,0.5999999999999999,0.5
20-100%,week,3344,3354,152,162,0.31606796869175635,0.3580339843458781,1.0
20-100%,week,3331,3341,139,149,0.8000000000000002,0.5999999999999999,0.5
20-100%,week,3341,3355,149,163,0.8000000000000002,0.5999999999999999,0.5
20-100%,adjacent,3184,3193,-8,1,0.05456536504639568,0.9727173174768021,1.0
20-100%,adjacent,3166,3196,-26,4,0.8000000000000002,0.5999999999999999,0.5
20-100%,adjacent,3355,3378,163,186,0.8000000000000002,0.5999999999999999,0.5
0-80%,week,3203,3210,11,18,0.8,0.4,1.0
0-80%,week,3173,3216,-19,24,0.8000000000000004,0.4000000000000002,0.5
0-80%,week,3232,3237,40,45,0.23011979886100534,0.6849401005694977,1.0
0-80%,week,3216,3244,24,52,0.8000000000000004,0.4000000000000002,0.5
0-80%,week,3244,3250,52,58,0.8000000000000004,0.4000000000000002,0.5
0-80%,week,3250,3255,58,63,0.8000000000000004,0.4000000000000002,0.5
0-80%,week,3264,3265,72,73,4.7369515717340015e-17,0.3230303846027117,1.0
0-80%,week,3255,3261,63,69,0.8000000000000004,0.4000000000000002,0.5
0-80%,week,3261,3267,69,75,0.8000000000000004,0.4000000000000002,0.5
0-80%,week,3275,3281,83,89,0.8,0.4,1.0
0-80%,week,3287,3290,95,98,0.15393923079457741,0.39999999999999997,1.0
0-80%,week,3286,3292,94,100,0.8,0.4,1.0
0-80%,week,3297,3305,105,113,0.8,0.4,1.0
0-80%,week,3311,3330,119,138,0.3359585745636232,0.1679792872818116,1.0
0-80%,week,3334,3341,142,149,0.8,0.4,1.0
0-80%,week,3344,3354,152,162,0.316067968691756,0.158033984345878,1.0
0-80%,week,3267,3361,75,169,0.8000000000000004,0.4000000000000002,0.5
0-80%,adjacent,3189,3192,-3,0,4.736951571734001e-16,0.7475634632964161,1.0
0-80%,adjacent,3184,3193,-8,1,0.054565365046395205,0.7727173174768024,1.0
0-80%,adjacent,3180,3196,-12,4,0.8,0.4,1.0
