window,i_start,i_end,depth,mean_soc,count
10-90%,3257,3355,0.8000000000000003,0.5000000000000001,0.5
10-90%,3367,3371,0.8000000000000002,0.5000000000000001,1.0
10-90%,3355,3378,0.8000000000000003,0.5000000000000001,0.5
10-90%,3380,3385,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,3378,3386,0.8000000000000003,0.5000000000000001,0.5
10-90%,3386,3402,0.8000000000000003,0.5000000000000001,0.5
10-90%,3404,3413,0.8,0.5,1.0
10-90%,3416,3421,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,3402,3426,0.8000000000000003,0.5000000000000001,0.5
10-90%,3438,3443,0.44240939776737936,0.6787953011163105,1.0
10-90%,3453,3454,1.8947806286936006e-16,0.8451506473608851,1.0
10-90%,3450,3458,0.4769696153972888,0.6615151923013557,1.0
10-90%,3469,3471,0.5942838097313073,0.39714190486565365,1.0
10-90%,3491,3498,0.8,0.5,1.0
10-90%,3515,3539,0.8,0.5,1.0
10-90%,3461,3540,0.8000000000000002,0.5000000000000001,1.0
10-90%,3426,3546,0.8000000000000003,0.5000000000000001,0.5
10-90%,3546,3563,0.8000000000000003,0.5000000000000001,0.5
10-90%,3569,3570,1.8947806286936006e-16,0.9,1.0
10-90%,3572,3574,0.4956293788033117,0.6521853105983443,1.0
10-90%,3590,3593,0.031830692824407265,0.8840846535877964,1.0
10-90%,3563,3582,0.8000000000000003,0.5000000000000001,0.5
10-90%,3595,3617,0.6196522570163016,0.4098261285081507,1.0
10-90%,3620,3629,0.08462779725931299,0.14231389862965643,1.0
10-90%,3582,3631,0.8000000000000003,0.5000000000000001,0.5
10-90%,3631,3642,0.8000000000000003,0.5000000000000001,0.5
10-90%,3653,3659,0.8,0.5,1.0
10-90%,3642,3644,0.8000000000000003,0.5000000000000001,0.5
10-90%,3672,3676,0.793050551278462,0.503474724360769,1.0
10-90%,3644,3664,0.8000000000000003,0.5000000000000001,0.5
10-90%,3664,3678,0.8000000000000003,0.5000000000000001,0.5
10-90%,3678,3688,0.8000000000000003,0.5000000000000001,0.5
10-90%,3688,3692,0.8000000000000003,0.5000000000000001,0.5
10-90%,3724,3738,0.025524216392459897,0.11276210819622993,1.0
10-90%,3692,3714,0.8000000000000003,0.5000000000000001,0.5
10-90%,3745,3746,4.7369515717340015e-17,0.30141157589707207,1.0
10-90%,3749,3754,0.5241424022194038,0.3620712011097019,1.0
10-90%,3714,3740,0.8000000000000003,0.5000000000000001,0.5
10-90%,3763,3764,9.473903143468003e-17,0.6241424022194038,1.0
10-90%,3768,3773,0.8,0.5,1.0
10-90%,3740,3762,0.8000000000000003,0.5000000000000001,0.5
10-90%,3762,3775,0.8000000000000003,0.5000000000000001,0.5
10-90%,3775,3786,0.8000000000000003,0.5000000000000001,0.5
10-90%,3786,3789,0.8000000000000003,0.5000000000000001,0.5
10-90%,3797,3800,0.663503260150631,0.5682483699246846,1.0
10-90%,3815,3822,0.044987915379940756,0.39835155547056655,1.0
10-90%,3789,3809,0.8000000000000003,0.5000000000000001,0.5
10-90%,3824,3833,0.3897688960849653,0.29488444804248254,1.0
10-90%,3809,3838,0.8000000000000003,0.5000000000000001,0.5
10-90%,3838,3845,0.8000000000000003,0.5000000000000001,0.5
10-90%,3847,3850,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,3845,3851,0.8000000000000003,0.5000000000000001,0.5
10-90%,3851,3856,0.8000000000000003,0.5000000000000001,0.5
10-90%,3862,3867,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,3878,3879,0.47696961539728866,0.6615151923013557,1.0
10-90%,3856,3868,0.8000000000000003,0.5000000000000001,0.5
10-90%,3868,3883,0.8000000000000003,0.5000000000000001,0.5
10-90%,3886,3905,0.8,0.5,1.0
10-90%,3883,3909,0.8000000000000003,0.5000000000000001,0.5
10-90%,3924,3929,0.8,0.5,1.0
10-90%,3934,3935,0.47696961539728866,0.3384848076986443,1.0
10-90%,3938,3940,0.8,0.5,1.0
10-90%,3909,3917,0.8000000000000003,0.5000000000000001,0.5
10-90%,3917,3942,0.8000000000000003,0.5000000000000001,0.5
10-90%,3958,3965,0.8,0.5,1.0
10-90%,3967,3977,0.8,0.5,1.0
10-90%,3942,3955,0.8000000000000003,0.5000000000000001,0.5
10-90%,3955,3982,0.8000000000000003,0.5000000000000001,0.5
10-90%,3989,3996,0.8000000000000002,0.5000000000000001,1.0
