window,energy_moved_ref_MWh,energy_moved_win_MWh,rel_diff_energy_moved,max_abs_power_diff_MW,expected_soc_offset_MWh,mean_soc_offset_MWh,max_dev_from_expected_MWh,n_steps_deviating,first_step,last_step
20-100%,231638.15454865928,231638.15454865928,0.0,3.5752650839881994e-13,30.000000000000004,29.999999999999986,3.730349362740526e-13,0,,
0-80%,231638.15454865928,231638.1545486593,1.2564350857241863e-16,11.89129346085366,-30.000000000000004,-30.059063514465787,143.0908846191866,2,8527.0,8530.0
