hour,price_eur_mwh,wind_mw,storage_p_mw_10_90,soc_10_90,storage_p_mw_20_80,soc_20_80,storage_p_mw_0_100,soc_0_100,storage_p_mw_20_100,soc_20_100,storage_p_mw_0_80,soc_0_80
0,145.36,324.3907681384494,0.6092318615505974,0.8475634632964159,0.6092318615505974,0.7475634632964159,0.6092318615505974,0.9475634632964158,0.6092318615505974,0.9475634632964158,0.6092318615505974,0.7475634632964163
1,129.75,325.0,-17.160012908037913,0.8454346349536043,-17.160012908037913,0.7454346349536043,-17.160012908037913,0.9454346349536044,-17.160012908037913,0.9454346349536044,-17.160012908037764,0.7454346349536048
2,150.37,285.8573330675587,0.0,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.8
3,153.85,249.75686231086212,0.0,0.9000000000000002,-1.0845033452762633e-13,0.8,0.0,1.0,0.0,1.0,0.0,0.8
4,161.43,233.65109437902228,10.517678916341483,0.9000000000000002,0.0,0.8000000000000004,67.75403276401602,1.0,10.517678916341428,1.0,10.517678916341374,0.8
5,166.44,227.173106947393,97.826893052607,0.8632482567134429,51.10821812127391,0.8000000000000004,97.826893052607,0.7632482567134431,97.826893052607,0.9632482567134428,97.826893052607,0.7632482567134431
6,182.4,204.39915657824983,120.60084342175017,0.5214134385384154,120.60084342175017,0.6214134385384152,120.60084342175017,0.42141343853841545,120.60084342175017,0.6214134385384152,120.60084342175017,0.42141343853841545
7,160.0,199.26118760434008,0.0,0.09999999999999992,0.0,0.19999999999999984,0.0,0.0,0.0,0.19999999999999984,0.0,0.0
8,119.94,223.76656735167919,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
9,76.24,249.70710281797423,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
10,76.46,210.7150745314241,0.0,0.09999999999999992,0.0,0.19999999999999984,0.0,0.0,0.0,0.19999999999999984,0.0,0.0
11,20.11,246.75872828762465,-101.58835306531381,0.09999999999999998,-38.69126479898538,0.19999999999999996,-150.0,0.0,-101.58835306531383,0.19999999999999996,-101.58835306531381,0.0
12,6.28,253.85553375113264,-150.0,0.42303038460271136,-150.0,0.32303038460271133,-150.0,0.47696961539728866,-150.0,0.5230303846027113,-150.0,0.32303038460271133
13,45.58,251.83146240595377,0.0,0.9,0.0,0.8,-14.485441331642273,0.9539392307945773,0.0,1.0,0.0,0.8
14,72.89,209.16860064904319,0.0,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.8
15,162.02,176.6207846442344,0.0,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.8
