window,soc_min,soc_max,full_depth,week,week_records,week_records_full,week_records_half,week_cycles,week_cycles_above_dc,week_straddling,week_at_full_depth,week_above_dc,week_zero_depth,week_mean_depth,week_max_depth,week_mean_soc,week_efc,week_fd_cycle,week_fd_calendar,week_fd,year_records,year_records_full,year_records_half,year_records_other,year_zero_depth,year_cycles,year_cycles_per_week,year_cycles_above_dc_per_week,year_mean_depth,year_mean_soc,year_efc
10-90,0.1,0.9,0.8,20,19,12,7,15.5,12.5,3,12,16,3,0.5055539079297395,0.8000000000000003,0.46548731321040954,7.858755909052834,0.0002782759586700744,0.00024155938064279617,0.0005198353393128705,980,573,407,0,171,776.5,14.891780821917807,10.682191780821917,0.48804125006076965,0.4843289148063036,360.74937586220557
20-80,0.2,0.8,0.6000000000000001,20,20,11,9,15.5,12.5,3,13,17,3,0.40877971438135274,0.6000000000000005,0.4738769849282436,6.332453139781516,0.00017720986844316968,0.00024367627047861,0.00042088613892177966,1034,591,443,0,197,812.5,15.582191780821917,10.739726027397259,0.376785252138441,0.4856694763252642,290.8962090513928
0-100,0.0,1.0,1.0,20,19,6,13,12.5,11.5,2,13,18,1,0.7375921625788874,1.0,0.4516097097932955,9.274226640901782,0.0004906388924609625,0.0002380980629216889,0.0007287369553826514,965,324,641,0,50,644.5,12.360273972602739,10.490410958904109,0.6892445517578842,0.4794333530736708,423.76095692879414
20-100,0.2,1.0,0.8,20,24,7,17,15.5,12.5,3,17,21,3,0.5055539079297396,0.8000000000000002,0.5654873132104097,7.858755909052835,0.00030877585970278147,0.000268034398650373,0.0005768102583531545,986,475,511,0,125,730.5,14.00958904109589,10.682191780821917,0.5187734848353013,0.5843289148063036,360.74937586220557
0-80,0.0,0.8,0.8,20,17,10,7,13.5,12.5,3,12,16,1,0.5804507831785899,0.8000000000000004,0.3654873132104097,7.858755909052835,0.00025077931832956835,0.00021769942466468603,0.0004684787429942544,918,473,445,0,90,695.5,13.33835616438356,10.682191780821917,0.5448799865883359,0.3841320364247511,360.7493758622056
