cycle_idx,dod,sigma_bar,sg0_charge,sg1_discharge,sg2_boundary,eff_ratio,expected_A,pass_A,pass_B,c_ratio,pass_C
0,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
1,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
2,0.675472,0.562264,-1.90019e-05,2.10409e-05,0,1.1073,1.1073,True,True,0,True
3,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
4,0.495019,0.34751,-1.43781e-05,1.59209e-05,0,1.1073,1.1073,True,True,0,True
5,0.313259,0.74337,-1.99995e-05,2.21456e-05,0,1.1073,1.1073,True,True,0,True
6,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
9,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
10,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
13,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
14,0.272158,0.441721,-1.42518e-05,1.57811e-05,0,1.1073,1.1073,True,True,0,True
15,0.014792,0.892604,-1.35431e-05,1.49963e-05,0,1.1073,1.1073,True,True,0,True
16,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
18,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
19,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
23,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
25,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
27,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
28,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
29,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,True
