cycle_idx,dod,sigma_bar,count,s_sigma,phi_prime,expected_sg,measured_sg,ratio,note
0,0.8,0.5,0.5,,,,,,skip_window_violation
1,0.8,0.5,0.5,,,,,,skip_window_violation
2,0.675472,0.561931,1,1.06653,3.56208e-05,1.89953e-05,1.89953e-05,1,
3,0.8,0.5,0.5,,,,,,skip_window_violation
4,0.495019,0.347843,1,0.853642,3.36981e-05,1.4383e-05,1.4383e-05,1,
5,0.313259,0.743037,1,1.28757,3.10548e-05,1.99926e-05,1.99926e-05,1,
6,0.8,0.5,0.5,,,,,,skip_window_violation
7,3.78956e-16,0.9,1,,,,,,skip_zero_dod
8,3.78956e-16,0.9,1,,,,,,skip_zero_dod
9,0.8,0.5,0.5,,,,,,skip_window_violation
10,0.8,0.5,0.5,,,,,,skip_window_violation
11,3.78956e-16,0.9,1,,,,,,skip_zero_dod
12,3.78956e-16,0.9,1,,,,,,skip_zero_dod
13,0.8,0.5,0.5,,,,,,skip_window_violation
14,0.272158,0.441721,1,0.94119,3.02847e-05,1.42518e-05,1.42518e-05,1,
15,0.014792,0.892271,1,1.50375,1.80062e-05,1.35384e-05,1.35384e-05,1,
16,0.8,0.5,0.5,,,,,,skip_window_violation
17,3.78956e-16,0.9,1,,,,,,skip_zero_dod
18,0.8,0.5,0.5,,,,,,skip_window_violation
19,0.8,0.5,0.5,,,,,,skip_window_violation
20,3.78956e-16,0.9,1,,,,,,skip_zero_dod
21,3.78956e-16,0.9,1,,,,,,skip_zero_dod
22,3.78956e-16,0.9,1,,,,,,skip_zero_dod
23,0.8,0.5,0.5,,,,,,skip_window_violation
24,4.73695e-17,0.398889,1,,,,,,skip_zero_dod
25,0.8,0.5,0.5,,,,,,skip_window_violation
26,3.78956e-16,0.9,1,,,,,,skip_zero_dod
27,0.8,0.5,0.5,,,,,,skip_window_violation
28,0.8,0.5,0.5,,,,,,skip_window_violation
29,0.8,0.5,0.5,,,,,,skip_window_violation
30,0.8,0.5,0.5,,,,,,skip_window_violation
31,0.8,0.5,0.5,,,,,,skip_window_violation
32,0.663945,0.432306,1,0.932019,3.55115e-05,1.65487e-05,1.65487e-05,1,
33,0.258578,0.229622,1,0.754883,3.00092e-05,1.13267e-05,1.13267e-05,1,
34,0.8,0.5,1,,,,,,skip_window_violation
35,0.8,0.5,1,,,,,,skip_window_violation
36,0.8,0.5,0.5,,,,,,skip_window_violation
37,3.78956e-16,0.9,1,,,,,,skip_zero_dod
38,0.52649,0.593384,1,1.10199,3.40709e-05,1.87729e-05,1.87729e-05,1,
39,0.8,0.5,0.5,,,,,,skip_window_violation
40,0.8,0.5,0.5,,,,,,skip_window_violation
41,3.78956e-16,0.9,1,,,,,,skip_zero_dod
42,3.78956e-16,0.9,1,,,,,,skip_zero_dod
43,3.78956e-16,0.9,1,,,,,,skip_zero_dod
44,0.8,0.5,0.5,,,,,,skip_window_violation
45,0.8,0.5,0.5,,,,,,skip_window_violation
46,0.8,0.5,0.5,,,,,,skip_window_violation
47,0.447818,0.675758,1,1.20056,3.31005e-05,1.98696e-05,1.98696e-05,1,
48,0.8,0.5,0.5,,,,,,skip_window_violation
49,3.78956e-16,0.9,1,,,,,,skip_zero_dod
50,3.78956e-16,0.9,1,,,,,,skip_zero_dod
51,3.78956e-16,0.9,1,,,,,,skip_zero_dod
52,0.8,0.5,0.5,,,,,,skip_window_violation
53,4.73695e-17,0.383346,1,,,,,,skip_zero_dod
54,1.89478e-16,0.680796,1,,,,,,skip_zero_dod
55,0.8,0.5,0.5,,,,,,skip_window_violation
56,0.8,0.5,0.5,,,,,,skip_window_violation
57,0.8,0.5,1,,,,,,skip_window_violation
58,0.8,0.5,0.5,,,,,,skip_window_violation
59,3.78956e-16,0.9,1,,,,,,skip_zero_dod
60,3.78956e-16,0.9,1,,,,,,skip_zero_dod
61,3.78956e-16,0.9,1,,,,,,skip_zero_dod
62,0.8,0.5,0.5,,,,,,skip_window_violation
63,0.8,0.5,0.5,,,,,,skip_window_violation
64,0.5,0.649667,1,1.16842,3.37583e-05,1.9722e-05,1.9722e-05,1,
65,0.8,0.5,0.5,,,,,,skip_window_violation
66,0.8,0.5,0.5,,,,,,skip_window_violation
67,3.78956e-16,0.9,1,,,,,,skip_zero_dod
68,0.8,0.5,0.5,,,,,,skip_window_violation
69,0.205471,0.203069,1,0.734321,2.88025e-05,1.05751e-05,1.05751e-05,1,
70,0.49723,0.651052,1,1.17011,3.37249e-05,1.97308e-05,1.97308e-05,1,
71,0.8,0.5,0.5,,,,,,skip_window_violation
72,0.8,0.5,0.5,,,,,,skip_window_violation
73,0.0461928,0.12343,1,0.675952,2.20654e-05,7.45758e-06,7.45758e-06,1,
74,0.8,0.5,1,,,,,,skip_window_violation
75,0.8,0.5,0.5,,,,,,skip_window_violation
76,3.78956e-16,0.9,1,,,,,,skip_zero_dod
77,0.8,0.5,0.5,,,,,,skip_window_violation
78,0.8,0.5,0.5,,,,,,skip_window_violation
79,0.8,0.5,0.5,,,,,,skip_window_violation
80,0.8,0.5,1,,,,,,skip_window_violation
81,0.8,0.5,0.5,,,,,,skip_window_violation
82,3.78956e-16,0.9,1,,,,,,skip_zero_dod
83,0.8,0.5,0.5,,,,,,skip_window_violation
84,0.8,0.5,1,,,,,,skip_window_violation
85,0.776381,0.511476,1,1.01201,3.65173e-05,1.84779e-05,1.84779e-05,1,
86,0.8,0.5,0.5,,,,,,skip_window_violation
87,0.8,0.5,0.5,,,,,,skip_window_violation
88,0.348308,0.274487,1,0.79094,3.16483e-05,1.2516e-05,1.2516e-05,1,
89,0.8,0.5,1,,,,,,skip_window_violation
90,0.5,0.649667,1,1.16842,3.37583e-05,1.9722e-05,1.9722e-05,1,
91,0.8,0.5,1,,,,,,skip_window_violation
92,0.8,0.5,0.5,,,,,,skip_window_violation
93,3.78956e-16,0.9,1,,,,,,skip_zero_dod
94,3.78956e-16,0.9,1,,,,,,skip_zero_dod
95,0.8,0.5,0.5,,,,,,skip_window_violation
96,0.8,0.5,1,,,,,,skip_window_violation
97,0.8,0.5,0.5,,,,,,skip_window_violation
98,3.78956e-16,0.9,1,,,,,,skip_zero_dod
99,0.8,0.5,0.5,,,,,,skip_window_violation
100,0.8,0.5,0.5,,,,,,skip_window_violation
101,3.78956e-16,0.9,1,,,,,,skip_zero_dod
102,0.8,0.5,0.5,,,,,,skip_window_violation
103,0.8,0.5,0.5,,,,,,skip_window_violation
104,9.4739e-17,0.267012,1,,,,,,skip_zero_dod
105,0.8,0.5,0.5,,,,,,skip_window_violation
106,0.8,0.5,0.5,,,,,,skip_window_violation
107,0.8,0.5,0.5,,,,,,skip_window_violation
108,0.8,0.5,0.5,,,,,,skip_window_violation
109,3.78956e-16,0.9,1,,,,,,skip_zero_dod
110,3.78956e-16,0.9,1,,,,,,skip_zero_dod
