cycle_idx,dod,sigma_bar,count,s_sigma,phi_prime,expected_sg,measured_sg,ratio,note
79,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
80,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
81,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
82,3.78956e-16,0.9,1,,,,,,skip_zero_dod
83,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
84,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
85,0.776381,0.51181,1,1.01236,3.65173e-05,1.84843e-05,1.84843e-05,1,
86,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
87,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
88,0.348308,0.274154,1,0.790666,3.16483e-05,1.25116e-05,1.25116e-05,1,
89,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
90,0.5,0.65,1,1.16883,3.37583e-05,1.97288e-05,1.97288e-05,1,
91,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
92,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
93,3.78956e-16,0.9,1,,,,,,skip_zero_dod
94,3.78956e-16,0.9,1,,,,,,skip_zero_dod
95,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
96,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
97,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
98,3.78956e-16,0.9,1,,,,,,skip_zero_dod
99,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
100,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
101,3.78956e-16,0.9,1,,,,,,skip_zero_dod
102,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
103,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
104,9.4739e-17,0.267012,1,,,,,,skip_zero_dod
105,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
106,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
107,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
108,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
109,3.78956e-16,0.9,1,,,,,,skip_zero_dod
110,3.78956e-16,0.9,1,,,,,,skip_zero_dod
111,4.73695e-17,0.330139,1,,,,,,skip_zero_dod
112,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
113,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
114,0.181494,0.809253,1,1.37936,2.81715e-05,1.94294e-05,1.94294e-05,1,
115,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
116,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
117,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
118,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
119,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
120,0.314238,0.257119,1,0.776782,3.10721e-05,1.20681e-05,1.20681e-05,1,
121,0.120334,0.160167,1,0.702278,2.61786e-05,9.19233e-06,9.19233e-06,1,
122,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
123,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
124,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
125,0.6833,0.44165,1,0.941121,3.56941e-05,1.67962e-05,1.67962e-05,1,
126,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
127,3.78956e-16,0.9,1,,,,,,skip_zero_dod
128,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
129,0.235451,0.782274,1,1.3412,2.95114e-05,1.97904e-05,1.97904e-05,1,
130,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
131,2.84217e-16,0.6,1,,,,,,skip_zero_dod
132,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
133,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
134,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
135,3.78956e-16,0.9,1,,,,,,skip_zero_dod
136,0.201774,0.799113,1,1.36489,2.87093e-05,1.95926e-05,1.95926e-05,1,
137,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
138,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
139,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
140,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
141,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
142,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
143,0.321838,0.260919,1,0.779857,3.12049e-05,1.21677e-05,1.21677e-05,1,
144,0.748677,0.525662,1,1.02705,3.62812e-05,1.86313e-05,1.86313e-05,1,
145,0.350762,0.724619,1,1.26314,3.1688e-05,2.00133e-05,2.00133e-05,1,
146,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
147,0.241709,0.779145,1,1.33684,2.96499e-05,1.98187e-05,1.98187e-05,1,
148,0.0659954,0.867002,1,1.46475,2.35165e-05,1.72229e-05,1.72229e-05,1,
149,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
150,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
151,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
152,0.537601,0.368801,1,0.872452,3.41982e-05,1.49181e-05,1.49181e-05,1,
153,2.84217e-16,0.644984,1,,,,,,skip_zero_dod
154,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
155,0.534334,0.632833,1,1.14814,3.4161e-05,1.96109e-05,1.96109e-05,1,
156,3.78956e-16,0.9,1,,,,,,skip_zero_dod
157,0.197745,0.570989,1,1.07662,2.86061e-05,1.5399e-05,1.5399e-05,1,
158,0.692166,0.553917,1,1.05768,3.57764e-05,1.89199e-05,1.89199e-05,1,
159,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
160,4.73695e-17,0.265134,1,,,,,,skip_zero_dod
161,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
162,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
163,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
164,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
165,0.2,0.5,1,1,2.8664e-05,1.4332e-05,1.4332e-05,1,
166,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
167,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
168,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
169,0.227,0.2135,1,0.742331,2.93194e-05,1.08824e-05,1.08824e-05,1,
170,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
171,1.89478e-16,0.676149,1,,,,,,skip_zero_dod
172,0.723851,0.538075,1,1.04039,3.60634e-05,1.876e-05,1.876e-05,1,
173,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
174,0.492923,0.346462,1,0.852417,3.36725e-05,1.43515e-05,1.43515e-05,1,
175,0.569861,0.615069,1,1.12713,3.45558e-05,1.94744e-05,1.94744e-05,1,
176,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
177,3.78956e-16,0.9,1,,,,,,skip_zero_dod
178,3.78956e-16,0.9,1,,,,,,skip_zero_dod
179,0.303971,0.748015,1,1.29426,3.08883e-05,1.99887e-05,1.99887e-05,1,
180,3.78956e-16,0.9,1,,,,,,skip_zero_dod
181,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
182,0.0532899,0.406452,1,0.907293,2.26357e-05,1.02686e-05,1.02686e-05,1,
183,0.569861,0.384931,1,0.887211,3.45558e-05,1.53292e-05,1.53292e-05,1,
184,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
185,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
186,0.569861,0.384931,1,0.887211,3.45558e-05,1.53292e-05,1.53292e-05,1,
187,0.425392,0.312696,1,0.823002,3.27983e-05,1.34966e-05,1.34966e-05,1,
188,0.0577806,0.87111,1,1.47102,2.2965e-05,1.68909e-05,1.68909e-05,1,
189,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
190,3.78956e-16,0.9,1,,,,,,skip_zero_dod
191,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
192,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
193,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
194,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
195,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
196,0.126399,0.1632,1,0.704496,2.64094e-05,9.30268e-06,9.30268e-06,1,
197,0.449813,0.324907,1,0.83352,3.31268e-05,1.38059e-05,1.38059e-05,1,
198,0.0182851,0.890857,1,1.50154,1.87007e-05,1.40399e-05,1.40399e-05,1,
199,0.00230538,0.898847,1,1.51407,1.2921e-05,9.78168e-06,9.78168e-06,1,
200,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
201,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
202,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
203,0.69635,0.448175,1,0.947529,3.58149e-05,1.69678e-05,1.69678e-05,1,
204,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
205,0.295205,0.752398,1,1.30017,3.07274e-05,1.99754e-05,1.99754e-05,1,
206,0.339722,0.5,1,1,3.15076e-05,1.57538e-05,1.57538e-05,1,
207,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
208,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
209,0.502078,0.351039,1,0.856484,3.37833e-05,1.44675e-05,1.44675e-05,1,
210,4.73695e-17,0.328548,1,,,,,,skip_zero_dod
211,0.5,0.35,1,0.855559,3.37583e-05,1.44411e-05,1.44411e-05,1,
212,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
213,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
214,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
215,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
216,0.5,0.35,1,0.855559,3.37583e-05,1.44411e-05,1.44411e-05,1,
