cycle_idx,dod,sigma_bar,sg0_charge,sg1_discharge,sg2_boundary,eff_ratio,expected_A,pass_A,pass_B,c_ratio,pass_C
0,0.238427,0.360866,-1.22071e-05,1.34144e-05,0,1.0989,1.0989,True,True,0,True
1,0.767558,0.516221,-1.76779e-05,1.94262e-05,0,1.0989,1.0989,True,True,0,True
2,0.351282,0.724359,-1.90913e-05,2.09795e-05,0,1.0989,1.0989,True,True,0,True
3,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
4,0.29124,0.24562,-1.12221e-05,1.23319e-05,0,1.0989,1.0989,True,True,0,True
5,0.318822,0.740589,-1.90831e-05,2.09705e-05,0,1.0989,1.0989,True,True,0,True
6,0.25504,0.77248,-1.8956e-05,2.08308e-05,0,1.0989,1.0989,True,True,0,True
7,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
8,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
10,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
11,0.524142,0.637929,-1.87424e-05,2.05961e-05,0,1.0989,1.0989,True,True,0,True
12,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
13,0.355543,0.277772,-1.20244e-05,1.32136e-05,0,1.0989,1.0989,True,True,0,True
14,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
15,0.0860116,0.856994,-1.70469e-05,1.87328e-05,0,1.0989,1.0989,True,True,0,True
16,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
17,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
20,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
22,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
23,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
24,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
26,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
27,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
30,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
32,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
35,0.248537,0.224268,-1.06693e-05,1.17245e-05,0,1.0989,1.0989,True,True,0,True
36,0.795322,0.502339,-1.75354e-05,1.92696e-05,0,1.0989,1.0989,True,True,0,True
37,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
39,0.524142,0.637929,-1.87424e-05,2.05961e-05,0,1.0989,1.0989,True,True,0,True
40,0.752584,0.523708,-1.77535e-05,1.95093e-05,0,1.0989,1.0989,True,True,0,True
41,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
44,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
46,0.545084,0.627458,-1.86696e-05,2.0516e-05,0,1.0989,1.0989,True,True,0,True
47,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
51,0.0997174,0.850141,-1.73785e-05,1.90973e-05,0,1.0989,1.0989,True,True,0,True
52,0.37246,0.71377,-1.90806e-05,2.09677e-05,0,1.0989,1.0989,True,True,0,True
53,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
56,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
57,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
58,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
59,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
60,0.524142,0.362071,-1.40679e-05,1.54593e-05,0,1.0989,1.0989,True,True,0,True
62,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
65,0.524142,0.637929,-1.87424e-05,2.05961e-05,0,1.0989,1.0989,True,True,0,True
66,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
67,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
69,0.47697,0.661515,-1.88872e-05,2.07551e-05,0,1.0989,1.0989,True,True,0,True
70,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
71,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
72,0.248285,0.5,-1.421e-05,1.56154e-05,0,1.0989,1.0989,True,True,0,True
73,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
74,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
75,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
76,0.592029,0.603986,-1.849e-05,2.03187e-05,0,1.0989,1.0989,True,True,0,True
77,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
78,0.0866365,0.143318,-8.12573e-06,8.92937e-06,0,1.0989,1.0989,True,True,0,True
79,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
80,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
81,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
82,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
84,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
85,0.8,0.5,-1.75111e-05,1.9243e-05,0,1.0989,1.0989,True,True,0,True
