cycle_idx,dod,sigma_bar,count,s_sigma,phi_prime,expected_sg,measured_sg,ratio,note
0,0.238427,0.360866,1,0.865282,2.95776e-05,1.27965e-05,1.27965e-05,1,
1,0.767558,0.516221,0.5,1.01701,3.64429e-05,1.85314e-05,1.85314e-05,1,
2,0.351282,0.724359,1,1.2628,3.16964e-05,2.00132e-05,2.00132e-05,1,
3,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
4,0.29124,0.24562,1,0.767547,3.06533e-05,1.17639e-05,1.17639e-05,1,
5,0.318822,0.740589,1,1.2843,3.11525e-05,2.00045e-05,2.00045e-05,1,
6,0.25504,0.77248,1,1.32761,2.99355e-05,1.98713e-05,1.98713e-05,1,
7,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
8,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
9,5.92119e-17,0.1,1,,,,,,skip_zero_dod
10,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
11,0.524142,0.637929,1,1.15424,3.40437e-05,1.96474e-05,1.96474e-05,1,
12,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
13,0.355543,0.277772,1,0.793646,3.17647e-05,1.2605e-05,1.2605e-05,1,
14,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
15,0.0860116,0.856994,1,1.44958,2.46554e-05,1.787e-05,1.787e-05,1,
16,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
17,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
18,1.89478e-16,0.9,1,,,,,,skip_zero_dod
19,2.36848e-16,0.326714,1,,,,,,skip_zero_dod
20,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
21,1.89478e-16,0.9,1,,,,,,skip_zero_dod
22,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
23,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
24,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
