cycle_idx,dod,sigma_bar,measured_discharge,expected_discharge,ratio_discharge,measured_charge,expected_charge,ratio_charge,pass
892,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
893,0.26393708356064755,0.7680314582196766,3.7030930140149962,4.014651642646214,0.9223946044728659,3.249119324807624,3.5224830122076063,0.9223946044728659,False
894,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
895,0.5000000000000001,0.65,3.7030930140149962,3.979910462793563,0.930446312456923,3.249119324807624,3.4920008616381604,0.930446312456923,False
896,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
897,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
898,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
899,0.10991466442541026,0.8450426677872952,3.7030930140149962,3.7197260175346543,0.9955284331584502,3.249119324807624,3.2637132366971664,0.9955284331584502,False
900,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,True
901,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
903,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
904,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
906,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
907,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
911,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
912,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
914,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
915,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
916,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
917,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
918,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
919,0.5698610367648241,0.38493051838241205,3.7030930140149962,3.092363935619568,1.1974958611309332,3.249119324807624,2.713261423500125,1.1974958611309334,False
920,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
921,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
922,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
924,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
925,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
928,0.6123406542571478,0.5938296728714264,3.7030930140149962,3.892402120971187,0.951364452830748,3.249119324807624,3.415220439590733,0.951364452830748,False
929,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,True
930,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
931,0.5698610367648241,0.6150694816175882,3.7030930140149962,3.9285890768582026,0.9426012600372189,3.249119324807624,3.446971124014126,0.942601260037219,False
932,0.4160804122751106,0.6919597938624451,3.7030930140149962,4.023276111974738,0.9204173193565413,3.249119324807624,3.530050181019046,0.9204173193565415,False
933,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
934,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
935,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
936,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
938,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,True
939,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
940,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
941,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
943,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
944,0.19657917657064444,0.8017104117146778,3.7030930140149962,3.9447044857388116,0.9387504253874258,3.249119324807624,3.46111089480114,0.9387504253874258,False
945,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
946,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,True
947,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
948,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
949,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
