t,subgrad_t,fd_partial_t,ratio,pass
0,-3.249119324807623,-3.959016636485152e-08,1.2184891475844954e-08,False
1,-3.249119324807623,0.0,-0.0,False
2,-3.249119324807623,1.6035990937912636e-08,-4.935488461588622e-09,False
3,-3.249119324807623,-1.5980495749606805e-08,4.9184083907269224e-09,False
4,-3.249119324807623,0.0,-0.0,False
5,-3.249119324807623,0.0,-0.0,False
6,-3.249119324807623,0.0,-0.0,False
16,3.703093014014995,8.293487865213e-08,2.2396110045912603e-08,False
17,3.703093014014995,0.0,0.0,False
27,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
28,-3.249119324807624,0.0,-0.0,False
32,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
33,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
34,3.7030930140149962,0.0,0.0,False
35,3.7030930140149962,-4.439646675551828e-08,-1.1989022848600393e-08,False
36,-3.249119324807624,-4.439646675551828e-08,1.3664153980601169e-08,False
37,-3.249119324807624,0.0,-0.0,False
39,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
40,3.7030930140149962,0.0,0.0,False
47,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
48,3.7030930140149962,1.1678987404863811e-07,3.153846625148939e-08,False
51,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
52,-3.249119324807624,0.0,-0.0,False
55,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
60,-3.249119324807624,-5.740633861155142e-08,1.7668276499802102e-08,False
61,3.7030930140149962,8.293487925928322e-08,2.2396110209870997e-08,False
68,-3.249119324807624,5.340178756228081e-08,-1.6435772966092175e-08,False
70,3.7030930140149962,5.340178756228081e-08,1.442086044292501e-08,False
71,-3.249119324807624,5.3401786955127595e-08,-1.6435772779225163e-08,False
75,3.7030930140149962,5.340178695426023e-08,1.4420860278732381e-08,False
78,3.7030930140149962,8.293487926015058e-08,2.2396110210105225e-08,False
79,3.7030930140149962,0.0,0.0,False
97,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
98,-3.249119324807624,0.0,-0.0,False
103,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
106,3.7030930140149962,5.340178756228081e-08,1.442086044292501e-08,False
107,-3.249119324807624,5.3401786955127595e-08,-1.6435772779225163e-08,False
109,3.7030930140149962,5.340178756228081e-08,1.442086044292501e-08,False
111,-3.249119324807624,5.340178756228081e-08,-1.6435772966092175e-08,False
112,3.7030930140149962,8.293487925928322e-08,2.2396110209870997e-08,False
113,3.7030930140149962,0.0,0.0,False
116,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
117,3.7030930140149962,1.0642156827739974e-07,2.873856202764254e-08,False
118,-3.249119324807624,-8.360233478676288e-08,2.5730767764804344e-08,False
119,-3.249119324807624,0.0,-0.0,False
120,-3.249119324807624,0.0,-0.0,False
124,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
125,-3.249119324807624,-8.9581231430165e-08,2.7570926911238933e-08,False
127,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
132,3.7030930140149962,5.340178756228081e-08,1.442086044292501e-08,False
135,-3.249119324807624,5.340178756228081e-08,-1.6435772966092175e-08,False
136,3.7030930140149962,8.293487925928322e-08,2.2396110209870997e-08,False
137,3.7030930140149962,0.0,0.0,False
145,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
146,-3.249119324807624,0.0,-0.0,False
147,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
148,3.7030930140149962,5.340178756228081e-08,1.442086044292501e-08,False
149,-3.249119324807624,5.3401786955127595e-08,-1.6435772779225163e-08,False
150,3.7030930140149962,5.340178816943403e-08,1.4420860606883414e-08,False
152,-3.249119324807624,5.340178756228081e-08,-1.6435772966092175e-08,False
153,3.7030930140149962,5.340178816943403e-08,1.4420860606883414e-08,False
154,-3.249119324807624,5.3401786955127595e-08,-1.6435772779225163e-08,False
157,3.7030930140149962,5.340178695426023e-08,1.4420860278732381e-08,False
160,3.7030930140149962,8.293487926015058e-08,2.2396110210105225e-08,False
161,3.7030930140149962,0.0,0.0,False
166,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
167,3.7030930140149962,1.759865272434047e-08,4.75241984409663e-09,False
169,-3.249119324807624,-1.7537749327431462e-08,5.397693212904653e-09,False
170,-3.249119324807624,0.0,-0.0,False
171,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
