cycle_idx,dod,sigma_bar,measured_discharge,expected_discharge,ratio_discharge,measured_charge,expected_charge,ratio_charge,classification,pct_overwritten,n_discharge_timesteps,n_carry_dominant,n_carry_own
0,0.8,0.5,3.703093014014995,3.703093014014995,1.0,3.249119324807623,3.249119324807623,1.0,PASS_FORMULA,0.0,1,0,0
1,0.8,0.5,3.703093014014995,3.703093014014995,1.0,3.249119324807624,3.249119324807623,1.0000000000000004,PASS_FORMULA,0.0,2,0,0
2,0.6754721626442224,0.5622639186778888,3.7030930140149962,3.833261060258207,0.9660424781414593,3.249119324807624,3.363329665439256,0.9660424781414594,PASS_OVERWRITE,100.0,1,1,0
3,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
4,0.49501925192887647,0.34750962596443824,3.7030930140149962,2.9004967169742493,1.2767099484525541,3.249119324807624,2.544915803895586,1.2767099484525541,PASS_OVERWRITE,100.0,1,1,0
5,0.31325941426997017,0.7433702928650149,3.7030930140149962,4.03452530160357,0.9178509829999475,3.249119324807624,3.5399202975063,0.9178509829999475,PASS_OVERWRITE,100.0,1,1,0
6,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,6,0,0
9,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,4,0,0
10,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,3,0,0
13,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,3,0,0
14,0.27215830763998883,0.44172102011060377,3.7030930140149962,2.8750318718646684,1.288018073905132,3.249119324807624,2.522572773343657,1.2880180739051321,PASS_OVERWRITE,100.0,1,1,0
15,0.014791988142600493,0.8926040059286997,3.7030930140149962,2.7320534123769953,1.3554248234089823,3.249119324807624,2.3971224878675867,1.3554248234089823,PASS_OVERWRITE,100.0,1,1,0
16,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
18,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,PASS_FORMULA,0.0,4,0,0
19,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
23,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,4,0,0
25,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,3,0,0
27,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,3,0,0
28,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
29,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
