turbine_id,latitude,longitude,x_m,y_m,distance_from_center_km,name,power
0,52.9995252,5.2591827,-190.4494799999565,292.237264000469,0.34750168999429726,,generator
1,52.9930141,5.2629091,61.455160000022246,-432.5783879992335,0.43635499169367525,,generator
2,52.9979195,5.2714756,640.550560000002,113.49074000058778,0.6441868154094785,,generator
3,52.9946461,5.250796,-757.3903999999544,-250.90414799994164,0.7906064821192454,,generator
4,53.0044209,5.267615,379.57400000004,837.2265880003272,0.9168190048194614,,generator
5,52.9915251,5.2747253,860.2302800000334,-598.3338679999586,1.040457027983194,,generator
6,52.9884674,5.2547925,-487.22699999998724,-938.7170319998902,1.0544758293464915,,generator
7,53.0011203,5.2472316,-998.3438399999635,469.8037960000073,1.0940605646492811,,generator
8,53.0059995,5.255499,-439.46759999994606,1012.956340000548,1.101372931855858,,generator
9,52.9869618,5.2665173,305.3694800000489,-1106.3204239992717,1.1456922930487257,,generator
10,53.0027992,5.2797748,1201.5764800000436,656.698944000197,1.3583551331581587,,generator
11,52.9964295,5.2831726,1431.2677600000516,-52.37605999985618,1.4179194544894096,,generator
12,52.9901533,5.2430679,-1279.8099599999855,-751.0426439992949,1.4725311752656336,,generator
13,52.9963225,5.2392638,-1536.9671199999839,-64.28729999984029,1.522952525966094,,generator
14,53.0107724,5.2637983,121.56508000005459,1544.2755680004334,1.5472266627963374,,generator
15,52.9826837,5.2585026,-236.4242399999764,-1582.5585159993282,1.598020093484313,,generator
16,52.9857033,5.2774918,1047.2456800000264,-1246.41664399992,1.6202559725371803,,generator
17,53.0091832,5.275811,933.6236000000313,1367.3658240006605,1.6491039126011746,,generator
18,53.0074696,5.2438878,-1224.3847199999416,1176.6078720004155,1.688254842330107,,generator
19,52.9842087,5.2470019,-1013.8715599999784,-1412.7955159992293,1.731840533414249,,generator
20,52.9902664,5.2855976,1595.1977600000298,-738.4523519992852,1.7431168610493941,,generator
21,52.9814119,5.2694785,505.5466000000262,-1724.135291999877,1.7934727572997706,,generator
22,53.012223,5.2520086,-675.4186399999763,1705.7563600002445,1.830305484493731,,generator
23,53.0026529,5.2359949,-1757.9447599999928,640.4128280005011,1.854086708596033,,generator
24,53.0012542,5.2911132,1968.052320000019,484.7095440001826,2.007520383416362,,generator
25,52.9918921,5.2320697,-2023.2882799999527,-557.4794279994882,2.0791179386000165,,generator
26,53.0075147,5.2875984,1730.4518400000466,1181.6284040005535,2.0801984332987353,,generator
27,52.9951013,5.293763,2147.1788000000442,-200.2312839994238,2.1351263505873903,,generator
28,52.9858914,5.2357552,-1774.148479999982,-1225.4773519996331,2.1410594040373043,,generator
29,52.9786961,5.250713,-763.0011999999581,-2026.4581479995607,2.1605853523612857,,generator
30,53.0154092,5.2720538,679.6368800000376,2060.4441440004452,2.1652736941480333,,generator
31,52.9773864,5.2616149,-26.032759999994326,-2172.253951999582,2.169966441270663,,generator
32,53.0169056,5.2603238,-113.3111199999636,2227.0233920005144,2.227346537032778,,generator
33,52.9802805,5.2807087,1264.708120000024,-1850.0827399997045,2.2323439842733745,,generator
34,52.9979692,5.2286096,-2257.191039999943,119.02334400038228,2.237737984197228,,generator
35,52.984591,5.2886048,1798.4844800000214,-1370.2378799994208,2.2459693068363626,,generator
36,53.0135134,5.2407103,-1439.1837199999752,1849.4036880004696,2.332774750507257,,generator
37,53.0088211,5.2328895,-1967.8697999999877,1327.0568520002369,2.356157470768333,,generator
38,53.0137477,5.2836803,1465.5882800000516,1875.485964000744,2.3693680737583924,,generator
39,52.9802272,5.2395704,-1516.2409599999808,-1856.0160959994364,2.3856105943485635,,generator
40,52.9762198,5.2728432,733.0003200000035,-2302.1198639993245,2.411368180997117,,generator
41,52.9891089,5.2964127,2326.29852000005,-867.305251999845,2.4607706768596493,,generator
42,53.018196,5.2489489,-882.2543599999537,2370.6707200007395,2.5238770237947845,,generator
43,53.0041136,5.2254418,-2471.334319999999,803.0179520000047,2.574542467893448,,generator
44,53.005887,5.2984337,2462.9181200000535,1000.4328400005278,2.634873668031432,,generator
45,52.9998137,5.3013507,2660.1073200000574,324.3530840000639,2.653256304729819,,generator
