timestamp,run_label,year,soh_pct,fd_annual,fd_cumulative,n_replacements,replacement_this_year
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,1,92.3077,0.024172,0.024172,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,2,89.795,0.024428,0.0486,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,3,87.6057,0.024514,0.073114,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,4,85.4772,0.024587,0.097701,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,5,83.3932,0.024683,0.122384,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,6,81.354,0.024757,0.147141,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,7,79.3588,0.02483,0.171971,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,8,77.4067,0.024907,0.196878,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,9,75.4966,0.024985,0.221863,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,10,73.6279,0.025064,0.246927,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,11,71.7998,0.025143,0.27207,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,12,70.0113,0.025225,0.297295,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,13,68.2621,0.025301,0.322595,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,14,66.5525,0.025364,0.34796,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,15,64.8814,0.02543,0.373389,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,16,63.2482,0.025495,0.398884,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,17,61.6521,0.025559,0.424443,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,18,60.0841,0.025762,0.450206,0,False
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,19,58.5527,0.025819,0.476024,0,True
2026-03-20 15:07:03,20260320_150154_dk2022_150mw_300mwh_v2,20,92.3077,0.024172,0.024172,1,False
