e_cap_MWh,p_cap_MW,year,soh_pct,fd_cumulative,n_repl_so_far
300,275,1,92.23805714365709,0.024715848806414656,0
300,275,2,89.69954135521316,0.049643000701826256,0
300,275,3,87.47203035485654,0.0746395988591109,0
300,275,4,85.30655181071297,0.09969995433301976,0
300,275,5,83.18987709874719,0.12482517444763391,0
300,275,6,81.12047208038355,0.15001546789825207,0
300,275,7,79.0958427078789,0.17529051040289337,0
300,275,8,77.11712272772023,0.20062548575248962,0
300,275,9,75.18343675152141,0.2260198755961455,0
300,275,10,73.29395222999302,0.25147272793364545,0
300,275,11,71.44791590767191,0.27698209091968473,0
300,275,12,69.64283348036308,0.30257102471473485,0
300,275,13,92.23805714365709,0.024715848806414656,1
300,275,14,89.69954135521316,0.049643000701826256,1
300,275,15,87.47203035485654,0.0746395988591109,1
300,275,16,85.30655181071297,0.09969995433301976,1
300,275,17,83.18987709874719,0.12482517444763391,1
300,275,18,81.12047208038355,0.15001546789825207,1
300,275,19,79.0958427078789,0.17529051040289337,1
300,275,20,77.11712272772023,0.20062548575248962,1
350,275,1,92.308136002635,0.024168883900333685,0
350,275,2,89.78904456402779,0.048665331861196676,0
350,275,3,87.59412268432204,0.07324621579452295,0
350,275,4,85.46009278574368,0.09790179256284903,0
350,275,5,83.37306468749136,0.12262555932075575,0
350,275,6,81.33157278665428,0.14741653726987958,0
350,275,7,79.33499391333054,0.1722715099273626,0
350,275,8,77.38252718349827,0.19718981820357767,0
350,275,9,75.47341550316612,0.22217034462032498,0
350,275,10,73.60678237512506,0.24721365300307876,0
350,275,11,71.78167502011738,0.2723216054098019,0
350,275,12,69.99723800743705,0.29749504209382416,0
350,275,13,92.308136002635,0.024168883900333685,1
350,275,14,89.78904456402779,0.048665331861196676,1
350,275,15,87.59412268432204,0.07324621579452295,1
350,275,16,85.46009278574368,0.09790179256284903,1
350,275,17,83.37306468749136,0.12262555932075575,1
350,275,18,81.33157278665428,0.14741653726987958,1
350,275,19,79.33499391333054,0.1722715099273626,1
350,275,20,77.38252718349827,0.19718981820357767,1
400,275,1,92.35927669341575,0.023776331066766347,0
400,275,2,89.87150770046921,0.04776753007047366,0
400,275,3,87.71672998452485,0.07184916990017326,0
400,275,4,85.62193642120465,0.09600991446654869,0
400,275,5,83.56533921316675,0.12032202763848729,0
400,275,6,81.55205115900885,0.144709347166096,0
400,275,7,79.58101460447692,0.16917527201288288,0
400,275,8,77.65170324530764,0.19371734207473043,0
400,275,9,75.76353626538624,0.21833370133047197,0
400,275,10,73.91594915873888,0.24302220083803425,0
400,275,11,72.10863024537848,0.26777709092893776,0
400,275,12,70.34082237464062,0.29259850792838427,0
400,275,13,92.35927669341575,0.023776331066766347,1
400,275,14,89.87150770046921,0.04776753007047366,1
400,275,15,87.71672998452485,0.07184916990017326,1
400,275,16,85.62193642120465,0.09600991446654869,1
400,275,17,83.56533921316675,0.12032202763848729,1
400,275,18,81.55205115900885,0.144709347166096,1
400,275,19,79.58101460447692,0.16917527201288288,1
400,275,20,77.65170324530764,0.19371734207473043,1
450,275,1,92.42028513605568,0.023315352520855037,0
450,275,2,89.94668795534567,0.0469516775812462,0
450,275,3,87.81899494029958,0.07068564087333841,0
450,275,4,85.75093856364985,0.09450451984863698,0
450,275,5,83.73030758164522,0.11834985807643893,0
450,275,6,81.75087198038653,0.142274352528964,0
450,275,7,79.81181506117369,0.16627927455295444,0
450,275,8,77.91257112908775,0.1903635112653804,0
450,275,9,76.05254018484452,0.21452640667092066,0
450,275,10,74.22568211007246,0.2388406159587056,0
450,275,11,72.4372568154643,0.26323006239735064,0
450,275,12,70.68636799262774,0.28769808683107684,0
450,275,13,68.97255417558507,0.31224216643180047,0
450,275,14,92.42028513605568,0.023315352520855037,1
450,275,15,89.94668795534567,0.0469516775812462,1
450,275,16,87.81899494029958,0.07068564087333841,1
450,275,17,85.75093856364985,0.09450451984863698,1
450,275,18,83.73030758164522,0.11834985807643893,1
450,275,19,81.75087198038653,0.142274352528964,1
450,275,20,79.81181506117369,0.16627927455295444,1
500,275,1,92.47321724559131,0.022921866283523544,0
500,275,2,90.02226414115297,0.046134261059060745,0
500,275,3,87.92786600251186,0.06944870934850253,0
500,275,4,85.89282726453095,0.09285138572301044,0
500,275,5,83.89658694591698,0.11636594630120167,0
500,275,6,81.93951932296197,0.13996942353027242,0
500,275,7,80.02118241054566,0.16365944675088298,0
500,275,8,78.14116581912992,0.18743381720260033,0
500,275,9,76.30309091078269,0.211237378887874,0
500,275,10,74.50238523054104,0.23511968493782878,0
500,275,11,72.7383506231375,0.25908206199010064,0
500,275,12,71.0103997831624,0.28312448419415137,0
500,275,13,69.31805082483001,0.30724548038686667,0
500,275,14,92.47321724559131,0.022921866283523544,1
500,275,15,90.02226414115297,0.046134261059060745,1
500,275,16,87.92786600251186,0.06944870934850253,1
500,275,17,85.89282726453095,0.09285138572301044,1
500,275,18,83.89658694591698,0.11636594630120167,1
500,275,19,81.93951932296197,0.13996942353027242,1
500,275,20,80.02118241054566,0.16365944675088298,1
600,275,1,92.56432008081715,0.022258712012982663,0
600,275,2,90.14634478682532,0.04479866915849814,0
600,275,3,88.1056053526046,0.06743333738243222,0
600,275,4,86.12518624404751,0.0901501568184461,0
600,275,5,84.1835949278919,0.11295083788286532,0
600,275,6,82.27900646356204,0.1358348417675562,0
600,275,7,80.41081969780565,0.15880208616470823,0
600,275,8,78.57846022899739,0.18185320735797275,0
600,275,9,76.78125976717604,0.2049902294001132,0
600,275,10,75.01856771498218,0.22821517389907175,0
600,275,11,73.28989789651608,0.2515280455347928,0
600,275,12,71.59477789205148,0.27492868948992294,0
600,275,13,69.93103737128033,0.29844125029823065,0
600,275,14,92.56432008081715,0.022258712012982663,1
600,275,15,90.14634478682532,0.04479866915849814,1
600,275,16,88.1056053526046,0.06743333738243222,1
600,275,17,86.12518624404751,0.0901501568184461,1
600,275,18,84.1835949278919,0.11295083788286532,1
600,275,19,82.27900646356204,0.1358348417675562,1
600,275,20,80.41081969780565,0.15880208616470823,1
700,275,1,92.65589791158806,0.021610025486970864,0
700,275,2,90.26423961380266,0.04353780491553638,0
700,275,3,88.2702897853222,0.06557058689994419,0
700,275,4,86.33457506130995,0.0877223061688785,0
700,275,5,84.4363225129105,0.10995326931408113,0
700,275,6,82.57322746324597,0.13226532886560727,0
700,275,7,80.74476527263013,0.15465769320312084,0
700,275,8,78.95038207208412,0.1771312462555811,0
700,275,9,77.1894746106182,0.19968771783551675,0
700,275,10,75.46176925382443,0.22232466581963073,0
700,275,11,73.7666997856719,0.24504341896954163,0
700,275,12,72.10367076753819,0.2678458711620719,0
700,275,13,70.47222132813053,0.290732217872099,0
700,275,14,92.65589791158806,0.021610025486970864,1
700,275,15,90.26423961380266,0.04353780491553638,1
700,275,16,88.2702897853222,0.06557058689994419,1
700,275,17,86.33457506130995,0.0877223061688785,1
700,275,18,84.4363225129105,0.10995326931408113,1
700,275,19,82.57322746324597,0.13226532886560727,1
700,275,20,80.74476527263013,0.15465769320312084,1
800,275,1,92.73174911850161,0.021086275339902233,0
800,275,2,90.36544415845195,0.04246244708517621,0
800,275,3,88.41475413409762,0.0639403548332104,0
800,275,4,86.52594282613539,0.08550867369281752,0
800,275,5,84.67262870585506,0.10715859144553791,0
800,275,6,82.85061194595448,0.12891170796249446,0
800,275,7,81.06077874596289,0.15075159899175056,0
800,275,8,79.30266618163422,0.17267907685543588,0
800,275,9,77.57541433402757,0.19470027493555692,0
800,275,10,75.87765943497749,0.21682852734913646,0
800,275,11,74.21074329861752,0.23904189824456246,0
800,275,12,72.57451392692593,0.2613370139675738,0
800,275,13,70.96822598863763,0.2837185707411359,0
800,275,14,69.39236317779888,0.3061740055360016,0
800,275,15,92.73174911850161,0.021086275339902233,1
800,275,16,90.36544415845195,0.04246244708517621,1
800,275,17,88.41475413409762,0.0639403548332104,1
800,275,18,86.52594282613539,0.08550867369281752,1
800,275,19,84.67262870585506,0.10715859144553791,1
800,275,20,82.85061194595448,0.12891170796249446,1
900,275,1,92.80218261334012,0.020610833645871615,0
900,275,2,90.45463944224143,0.041520573850291835,0
900,275,3,88.53963316647906,0.06253414617620057,0
900,275,4,86.68869118180568,0.08363006011046054,0
900,275,5,84.87174592460465,0.10480979127528561,0
900,275,6,83.08588346671897,0.12607602934545498,0
900,275,7,81.33094212659314,0.14742429148375796,0
900,275,8,79.60635570157973,0.1688568912647156,0
900,275,9,77.91184238988166,0.19037286460339733,0
900,275,10,76.2468064390531,0.21197529448477073,0
900,275,11,74.61022309308412,0.23367328972611306,0
900,275,12,73.0021804483436,0.25546151647041443,0
900,275,13,71.42259674106522,0.2773365260848193,0
900,275,14,69.8707010393852,0.2993044203321265,0
900,275,15,92.80218261334012,0.020610833645871615,1
900,275,16,90.45463944224143,0.041520573850291835,1
900,275,17,88.53963316647906,0.06253414617620057,1
900,275,18,86.68869118180568,0.08363006011046054,1
900,275,19,84.87174592460465,0.10480979127528561,1
900,275,20,83.08588346671897,0.12607602934545498,1
1000,275,1,92.86737263689254,0.020180054586782604,0
1000,275,2,90.53619660796282,0.04066458001819025,0
1000,275,3,88.65420668222912,0.06124656089016582,0
1000,275,4,86.83771073948537,0.08191312788170588,0
1000,275,5,85.05397039243343,0.10266509778242579,0
1000,275,6,83.2997421447494,0.12350539498990148,0
1000,275,7,81.57522325997179,0.14442524879882432,0
1000,275,8,79.87969034052107,0.16542919449222113,0
1000,275,9,78.21300308011521,0.18651491281455518,0
1000,275,10,76.57461656841022,0.20768518089129073,0
1000,275,11,74.96416073134704,0.22894068391725556,0
1000,275,12,73.38184949119876,0.25027420342318124,0
1000,275,13,71.82657133336564,0.27169634445368046,0
1000,275,14,70.298710825218,0.2931973658700033,0
1000,275,15,92.86737263689254,0.020180054586782604,1
1000,275,16,90.53619660796282,0.04066458001819025,1
1000,275,17,88.65420668222912,0.06124656089016582,1
1000,275,18,86.83771073948537,0.08191312788170588,1
1000,275,19,85.05397039243343,0.10266509778242579,1
1000,275,20,83.2997421447494,0.12350539498990148,1
1100,275,1,92.92803241794726,0.019787132601911596,0
1100,275,2,90.61194803346486,0.03987432469775612,0
1100,275,3,88.75899654306173,0.06007119280389226,0
1100,275,4,86.97361149497814,0.08035003185201597,0
1100,275,5,85.22023760962084,0.10071223420875552,0
1100,275,6,83.49576904771988,0.12115489544679985,0
1100,275,7,81.79962513978451,0.1416781678953484,0
1100,275,8,80.13128470894715,0.16228447807089277,0
1100,275,9,78.49040144955381,0.1829744835616406,0
1100,275,10,76.87666553352986,0.20374843496078907,0
1100,275,11,75.2897071302011,0.22460739236352026,0
1100,275,12,73.72932479612489,0.24555021215875344,0
1100,275,13,72.19493300443573,0.2665809628860364,0
1100,275,14,70.68699462028653,0.2876892219693064,0
1100,275,15,69.20473132250828,0.30888159432918777,0
1100,275,16,92.92803241794726,0.019787132601911596,1
1100,275,17,90.61194803346486,0.03987432469775612,1
1100,275,18,88.75899654306173,0.06007119280389226,1
1100,275,19,86.97361149497814,0.08035003185201597,1
1100,275,20,85.22023760962084,0.10071223420875552,1
1300,275,1,93.02817375207776,0.019154947683202358,0
1300,275,2,90.73813660338715,0.038569049139510675,0
1300,275,3,88.93730073976661,0.05807656219045599,0
1300,275,4,87.20787099303882,0.07766170620707413,0
1300,275,5,85.50938012894616,0.09732526400311649,0
1300,275,6,83.83770566260095,0.11706802013987522,0
1300,275,7,82.19205397097238,0.1368922004375725,0
1300,275,8,80.57231429844308,0.1567957312910927,0
1300,275,9,78.97809350606715,0.17678030974404552,0
1300,275,10,77.40897630758174,0.19684807949397284,0
1300,275,11,75.86461629487957,0.217000439099726,0
1300,275,12,74.34483909394072,0.2372365694971174,0
1300,275,13,72.84938912229465,0.2575566791401221,0
1300,275,14,71.37818176030014,0.2779585812677586,0
1300,275,15,69.93105169912513,0.2984410454129054,0
1300,275,16,93.02817375207776,0.019154947683202358,1
1300,275,17,90.73813660338715,0.038569049139510675,1
1300,275,18,88.93730073976661,0.05807656219045599,1
1300,275,19,87.20787099303882,0.07766170620707413,1
1300,275,20,85.50938012894616,0.09732526400311649,1
1500,275,1,93.1103434375591,0.018651285057309244,0
1500,275,2,90.83731226346171,0.03755384285255711,0
