series,center,width,label,soc_min,soc_max,dod_kernel,e_cap_MWh,p_cap_MW,npv_bat_noDeg_MEUR,npv_bat_multiyear_MEUR,npv_bat_planB_MEUR,npv_bat_multiyear_xu_MEUR,npv_xu_over_shi,rev_bat_yr1_kEUR,rev_bat_yrN_kEUR,rev_fade_pct,fd_yr1,fd_yr1_xu,fd_cycle_shi_yr1,fd_cycle_xu_yr1,fd_cycle_xu_over_shi,n_replacements,n_replacements_xu,first_repl_yr,first_repl_yr_xu,final_soh_pct,final_soh_pct_xu,shi_k3,shi_k4,shi_r2,fit_hi,mean_dod_obs,max_dod_obs,frac_below_convex,frac_fd_below_convex,frac_fd_below_convex_xu,n_cycles_yr1,elapsed_s
width,0.5,0.6,,0.2,0.8,0.8,550.0,175.0,74.58535610112503,13.488447462651603,63.30372975366703,13.362242867035269,0.9906435046757024,15665.21245071897,14374.39074997574,-8.240052312115209,0.01988924531230323,0.020364946634224095,0.006949023529925222,0.0074247248518460145,1.0684558513685032,1,1,15,14,86.99190622390124,85.04601018414984,2.7012604457795027e-05,1.0315994196147629,0.9875873418360336,0.6000000000000001,0.3667805294841735,0.6,0.28381219341275404,0.02035576188781833,0.026572252849282777,1033,226.73971140000504
width,0.5,0.8,manufacturer,0.09999999999999998,0.9,0.9,550.0,175.0,120.66750837232357,56.480604997050236,107.9951876208676,55.477471261245086,0.9822393238199636,18882.38632542303,16964.02800116992,-10.159512103987911,0.022341007257228436,0.02365030076044944,0.009480396013525162,0.010789689516746179,1.1381053598766464,1,1,13,12,82.2136051218598,79.51902419318014,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.4656226340010479,0.8000000000000002,0.2557449962935508,0.012821112961132973,0.01866536467060793,832,253.78221469989512
center,0.5,0.8,manufacturer,0.09999999999999998,0.9,0.9,550.0,175.0,120.66750837232357,56.480604997050236,107.9951876208676,55.477471261245086,0.9822393238199636,18882.38632542303,16964.02800116992,-10.159512103987911,0.022341007257228436,0.02365030076044944,0.009480396013525162,0.010789689516746179,1.1381053598766464,1,1,13,12,82.2136051218598,79.51902419318014,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.4656226340010479,0.8000000000000002,0.2557449962935508,0.012821112961132973,0.01866536467060793,832,253.78221469989512
width,0.5,1.0,extreme,0.0,1.0,1.0,550.0,175.0,159.94167368269092,90.05473839426243,145.14243791452716,86.50137489162937,0.9605421817220063,21624.268211575567,18594.616184059054,-14.010425684115068,0.026090709048695253,0.029983861118818036,0.013243605723962706,0.01713675779408558,1.293964661231094,1,1,11,10,75.88946991988456,70.71672869434033,4.0224074412792266e-05,1.3738423322945048,0.8956641583611481,1.0,0.5371826212019187,1.0000000000000004,0.24642049736247174,0.006364655652349304,0.01046752238548158,777,222.94924919994082
center,0.6,0.8,,0.19999999999999996,1.0,0.8,550.0,175.0,120.66750837232357,54.696613217806025,106.60629550167084,53.39545684026586,0.9762113904135369,18882.38632542303,16530.64640710315,-12.45467536671212,0.024789591815894754,0.026242399869281223,0.010519451729389147,0.01197225978277567,1.1381068225568907,1,1,12,11,78.9199331482363,75.90191693538587,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.4628776221572688,0.8000000000000004,0.26013264554163595,0.012821112961297145,0.01866662586941715,835,253.52247720002197
center,0.55,0.8,,0.15000000000000002,0.9500000000000001,0.85,550.0,175.0,120.66750837232357,55.63088059540091,107.31879309136444,54.53214432746295,0.9802495258716291,18882.38632542303,16620.274231860072,-11.98001171344153,0.023533475108126506,0.024913066777061062,0.009986419190114846,0.01136601085904938,1.138146781410912,1,1,12,12,79.642438821162,78.78943565075923,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.41188520214256635,0.8000000000000002,0.3416393442622951,0.012821112965782396,0.018701079213008977,920,270.967425800045
center,0.45,0.8,,0.04999999999999999,0.8500000000000001,0.95,550.0,175.0,120.66750837232357,57.10841508567816,108.6373084730278,56.32232660827522,0.9862351550778709,18882.38632542303,17258.08546553895,-8.602201183105462,0.0212089631037153,0.022452633129656736,0.009000013604823548,0.010243683630765024,1.1381853495504641,1,1,14,13,84.62033207006021,82.11725835576047,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.3913550986089805,0.8000000000000002,0.3744548286604361,0.012821112970111539,0.018734331159743736,1049,257.2887290000217
center,0.4,0.8,,0.0,0.8,1.0,550.0,175.0,120.66750837232357,58.04139657154652,109.24953907892137,56.94455631786054,0.9811024489678858,18882.38632542303,17305.42359622559,-8.35150124576276,0.02012961476037462,0.021309802966423146,0.008541633349318832,0.009721821555367426,1.138168914279458,1,1,14,14,85.08892841420617,84.54917067167503,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.44516295766648745,0.8,0.2884479092841956,0.012824624388615688,0.018695944382717957,952,247.0926856000442
