e_cap_MWh,p_cap_MW,year,soh_pct,fd_cumulative,n_repl_so_far
600,275,1,92.60279307943561,0.021984005729831765,0
600,275,2,90.19439451716545,0.04428377839817607,0
600,275,3,88.17175138075599,0.06668461539371909,0
600,275,4,86.2103808607741,0.08916160454553493,0
600,275,5,84.28668703160696,0.11172698926644478,0
600,275,6,82.39981227370559,0.1343676737111653,0
600,275,7,80.5486240301847,0.15708979943054865,0
600,275,8,78.73245909225763,0.17989531514431756,0
600,275,9,76.95080335269084,0.2027845261683715,0
600,275,10,75.20319887629512,0.225757058028551,0
600,275,11,73.48909626654462,0.24881378122934178,0
600,275,12,71.80789121865135,0.27195645076086755,0
600,275,13,70.15897888538804,0.2951870324552235,0
600,275,14,92.60279307943561,0.021984005729831765,1
600,275,15,90.19439451716545,0.04428377839817607,1
600,275,16,88.17175138075599,0.06668461539371909,1
600,275,17,86.2103808607741,0.08916160454553493,1
600,275,18,84.28668703160696,0.11172698926644478,1
600,275,19,82.39981227370559,0.1343676737111653,1
800,275,1,92.77040238969964,0.02082406362602792,0
800,275,2,90.4145728578731,0.04194295187336265,0
800,275,3,88.48378651429314,0.06316265712862378,0
800,275,4,86.61627024636358,0.08446556815085468,0
800,275,5,84.78331959125994,0.1058521915342365,0
800,275,6,82.9823360670818,0.12732307377165147,0
800,275,7,81.21246114124871,0.14888212966651443,0
800,275,8,79.47370328206513,0.1705246357917619,0
800,275,9,77.7643433142289,0.1922678123631569,0
800,275,10,76.08494673262524,0.21410039006021103,0
800,275,11,74.43500578619961,0.2360244872642018,0
800,275,12,72.81478644784023,0.2580317812023806,0
800,275,13,71.22180891277625,0.28015174985725294,0
800,275,14,69.65774764403018,0.30235689547559313,0
800,275,15,92.77040238969964,0.02082406362602792,1
800,275,16,90.4145728578731,0.04194295187336265,1
800,275,17,88.48378651429314,0.06316265712862378,1
800,275,18,86.61627024636358,0.08446556815085468,1
800,275,19,84.78331959125994,0.1058521915342365,1
