e_cap_MWh,p_cap_MW,ep_ratio_h,npv_bat_noDeg_MUSD,npv_bat_multiyear_MUSD,npv_bat_planB_MUSD,rev_bat_yr1_kUSD,rev_bat_yrN_kUSD,rev_bat_fade_pct,npv_total_noDeg_MUSD,npv_total_multiyear_MUSD,fd_yr1,n_replacements,final_soh_pct,capex_MUSD,pv_rev_bat_MUSD,pv_rev_total_MUSD,pv_repl_MUSD,dNPV_dEcap_yr1,elapsed_s
150,275,0.5454545454545454,38.971394761593565,-7.767243286342248,33.98879702218719,7410.087786780387,5812.392080984265,-21.561090121582836,2960.4608619395985,2913.7222238916625,0.0262797263594405,1,74.23006110412842,71.27199999999999,95.21616107123701,3016.7056282492417,31.71140435757926,340143.77213923936,197.34055259998422
200,275,0.7272727272727273,56.08887278324383,3.139580926582597,49.58146854810943,9532.254237591893,7722.7189842031,-18.98328777523175,2977.5783399612487,2924.6290481045876,0.025741512493135436,1,76.54245896137554,85.72699999999999,122.63381387859309,3044.123281056598,33.76723295201049,300593.79262818117,248.27371290000156
250,275,0.9090909090909091,71.35502723961189,12.157050065165706,63.39633613216096,11529.982664972216,9412.33383153069,-18.366452881797358,2992.8444944176167,2933.646517243171,0.025185925345204578,1,76.83122679517246,100.182,149.08574474823592,3070.5752119262406,36.74669468307023,265284.82810602966,231.48561890004203
300,275,1.0909090909090908,84.65697975982054,19.88844750245057,75.28480208140937,13395.685869350464,11033.6476512146,-17.63282777136663,3006.146446937825,2941.377914680455,0.024715848806414656,1,77.11712272772023,114.637,174.25160391658056,3095.741071094585,39.72615641412999,228100.51104504772,167.610862200032
350,275,1.2727272727272727,95.87416266565802,26.233095141953974,85.18193078481853,15121.259808922321,12577.310827837735,-16.82365763984509,3017.3636298436627,2947.7225623199583,0.024168883900333685,1,77.38252718349827,129.09199999999998,198.0307132871437,3119.5201804651483,42.70561814518973,184960.45984331932,131.85132180002984
400,275,1.4545454545454546,105.16096776897903,31.139541127427258,93.13974737479332,16717.082038568766,14044.539321621269,-15.986897179672543,3026.6504349469838,2952.6290083054323,0.023776331066766347,1,77.65170324530764,143.547,220.37162100367672,3141.8610881816817,45.68507987624948,140803.10180307907,132.9335317000514
450,275,1.6363636363636365,112.49187987478255,34.90194407831198,99.23020950862869,18181.43753640333,15706.184852177292,-13.61417478276964,3033.981347052787,2956.391411256317,0.023315352520855037,1,79.81181506117369,158.00199999999998,240.1510718523986,3161.6405390304035,47.24712777408662,121617.22324333573,136.32123500003945
500,275,1.8181818181818181,119.02765896968567,37.10668671462708,104.54115106049005,19592.347606276602,17005.700504609526,-13.202333654178421,3040.5171261476908,2958.5961538926317,0.022921866283523544,1,80.02118241054566,172.457,259.70349578100473,3181.1929629590095,50.139809066377644,107384.62931813236,119.74263890006114
600,275,2.1818181818181817,129.12146449823356,38.90035478537493,112.24058733215243,22214.015993848236,19415.578360592364,-12.59762140277042,3050.6109316762386,2960.3898219633797,0.022258712012982663,1,80.41081969780565,201.367,296.1925264363346,3217.6819936143393,55.925171650959676,66540.59618350753,145.09617750009056
700,275,2.5454545454545454,135.3075065697428,37.824450417765185,116.18710329333385,24573.021295533865,21661.450868629872,-11.8486464968521,3056.796973747748,2959.31391759577,0.021610025486970864,1,80.74476527263013,230.277,329.81198465330687,3251.3014518313116,61.710534235541715,30592.458027532382,106.75265939999372
800,275,2.909090909090909,137.86215507995044,34.19836802807144,116.53987769058848,26687.93990943393,24061.55109620139,-9.841107339664457,3059.351622257955,2955.687835206076,0.021086275339902233,1,82.85061194595448,259.187,358.91536494081294,3280.4048321188175,65.5299969127415,-9131.301504056086,112.90976359997876
900,275,3.272727272727273,136.91441149044692,27.67493243487975,113.46770773259539,28567.442760070266,25953.15301057786,-9.151290759376241,3058.403878668452,2949.1643996128846,0.020610833645871615,1,83.08588346671897,288.097,386.91878622585625,3308.4082534038607,71.1468537909765,-30286.89087220552,111.23515409999527
1000,275,3.6363636363636362,133.80842637474834,18.652087975580127,108.30103384715461,30301.87787935847,27654.8354191269,-8.735572332415508,3055.2978935527535,2940.1415551535847,0.020180054586782604,1,83.2997421447494,317.007,412.4227986447916,3333.912265822796,76.76371066921148,-49090.982180264895,108.55482560000382
1100,275,4.0,129.0107496010242,8.057279944286838,101.49893234046083,31922.604746816785,29567.757455214472,-7.376739179897696,3050.500216779029,2929.5467471222914,0.019787132601911596,1,85.22023760962084,345.917,433.955413485497,3355.4448806635014,79.98113354121016,-65056.606516663946,116.21278689999599
1300,275,4.7272727272727275,114.59128273757189,-17.974163383119567,83.11611514128235,34839.80229167077,32443.56042829165,-6.8778859401047665,3036.0807499155767,2903.515303794885,0.019154947683202358,1,85.50938012894616,403.73699999999997,476.6504883682556,3398.1399555462604,90.88765175137517,-91720.13724505593,109.21400809998158
1500,275,5.454545454545454,95.04424023366535,-48.26354823808636,59.68167614433693,37412.346211595206,35327.288561565074,-5.573180677409406,3016.53370741167,2873.2259189399183,0.018651285057309244,1,87.38832498701164,461.55699999999996,512.1227429867099,3433.6122101647147,98.82929122479631,-115604.47417220901,107.22824049997143
