series,center,width,label,soc_min,soc_max,dod_kernel,e_cap_MWh,p_cap_MW,npv_bat_noDeg_MEUR,npv_bat_multiyear_MEUR,npv_bat_planB_MEUR,npv_bat_multiyear_xu_MEUR,npv_xu_over_shi,rev_bat_yr1_kEUR,rev_bat_yrN_kEUR,rev_fade_pct,fd_yr1,fd_yr1_xu,fd_cycle_shi_yr1,fd_cycle_xu_yr1,fd_cycle_xu_over_shi,n_replacements,n_replacements_xu,first_repl_yr,first_repl_yr_xu,final_soh_pct,final_soh_pct_xu,shi_k3,shi_k4,shi_r2,fit_hi,mean_dod_obs,max_dod_obs,frac_below_convex,frac_fd_below_convex,n_cycles_yr1,elapsed_s
width,0.5,0.6,,0.2,0.8,0.8,550.0,175.0,62.149752404527185,2.51528190373414,50.99329360702274,2.15241166618254,0.8557337700347267,14797.034699527592,13576.575099879861,-8.248001200447918,0.019668577827891547,0.02012004964642666,0.006790953632753382,0.007242425451288458,1.0664813578401693,1,1,15,15,87.057713549788,86.89361573247247,2.7012604457795027e-05,1.0315994196147629,0.9875873418360336,0.6000000000000001,0.3123161746311133,0.6000000000000002,0.3844282238442822,0.019519331890223007,1041,358.1254650999326
width,0.5,0.8,manufacturer,0.09999999999999998,0.9,0.9,550.0,175.0,106.88574487683549,43.60752027874533,94.36162603977573,42.62706382468565,0.9775163447086082,17920.227934814484,16064.496943529486,-10.355509974735188,0.022079730723119202,0.02331641363040555,0.009248391190368275,0.010485074097654618,1.1337187065112777,1,1,13,12,82.35302945303332,79.72385972302064,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.3848983308216518,0.8000000000000005,0.37922403003754696,0.012536798018871963,820,334.7411270001903
center,0.5,0.8,manufacturer,0.09999999999999998,0.9,0.9,550.0,175.0,106.88574487683549,43.60752027874533,94.36162603977573,42.62706382468565,0.9775163447086082,17920.227934814484,16064.496943529486,-10.355509974735188,0.022079730723119202,0.02331641363040555,0.009248391190368275,0.010485074097654618,1.1337187065112777,1,1,13,12,82.35302945303332,79.72385972302064,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.3848983308216518,0.8000000000000005,0.37922403003754696,0.012536798018871963,820,334.7411270001903
width,0.5,1.0,extreme,0.0,1.0,1.0,550.0,175.0,144.3378843420854,76.10508522640002,129.78382619364436,72.71756583936656,0.9554889219694563,20534.907126235008,17674.89892748621,-13.927543870383053,0.025658466597689937,0.029486074931813995,0.012891497401960033,0.016719105736084205,1.2969095222050946,1,1,11,10,76.1687245957023,71.15408867470762,4.0224074412792266e-05,1.3738423322945048,0.8956641583611481,1.0,0.5103325246476385,1.0,0.27923976608187134,0.006392799886064989,887,315.90103779989295
center,0.6,0.8,,0.19999999999999996,1.0,0.8,550.0,175.0,106.88574487683549,41.841010450207605,92.98897691780198,40.58565203991013,0.9699969384871476,17920.227934814484,15641.62983177635,-12.715229467653089,0.024499679254813424,0.025872138841325783,0.010262019072096696,0.01163447865860914,1.1337416717772704,1,1,12,11,79.09472713224935,76.1500682418757,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.37734204457239234,0.8,0.3914110429447853,0.012536798021450466,1060,302.3458198001608
center,0.55,0.8,,0.15000000000000002,0.9500000000000001,0.85,550.0,175.0,106.88574487683549,42.7046818130479,93.69314189752495,41.73229538203849,0.9772299806549006,17920.227934814484,15995.947265031367,-10.738036797203476,0.02325825274495574,0.02456089966225504,0.009742030937203138,0.011044677854502439,1.1337141018845174,1,1,13,12,81.75554869088502,79.00361413925467,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.39605121226851225,0.8000000000000002,0.36123631680618157,0.012536798018354948,973,299.8163940999657
center,0.45,0.8,,0.04999999999999999,0.8500000000000001,0.95,550.0,175.0,106.88574487683505,44.262645188308625,94.9965966982865,43.50181433328543,0.9828109944223543,17920.227934814455,16354.602445063294,-8.736638258431672,0.020960292194995126,0.022134379859059986,0.008779764728879908,0.009953852392944783,1.1337265519431134,1,1,14,13,84.7330981725931,82.28813096678743,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.3806110969387373,0.8000000000000004,0.38613861386138615,0.01253679801975284,829,295.89803050016053
center,0.4,0.8,,0.0,0.8,1.0,550.0,175.0,106.88574487683549,44.76847885031231,95.61315656133391,44.17353727674168,0.9867107038512549,17920.227934814484,16613.788303315014,-7.290306999730656,0.019873311471810276,0.020982291905368475,0.008319993706221267,0.009428974139779507,1.1332910183248097,1,1,15,14,86.9585842919035,84.69834300761023,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.4529734766678074,0.8000000000000002,0.26843657817109146,0.01255923527240426,836,300.5503267000895
