series,center,width,label,soc_min,soc_max,dod_kernel,e_cap_MWh,p_cap_MW,npv_bat_noDeg_MEUR,npv_bat_multiyear_MEUR,npv_bat_planB_MEUR,npv_bat_multiyear_xu_MEUR,npv_xu_over_shi,rev_bat_yr1_kEUR,rev_bat_yrN_kEUR,rev_fade_pct,fd_yr1,fd_yr1_xu,fd_cycle_shi_yr1,fd_cycle_xu_yr1,fd_cycle_xu_over_shi,n_replacements,n_replacements_xu,first_repl_yr,first_repl_yr_xu,final_soh_pct,final_soh_pct_xu,shi_k3,shi_k4,shi_r2,fit_hi,mean_dod_obs,max_dod_obs,frac_below_convex,frac_fd_below_convex,n_cycles_yr1,elapsed_s
width,0.5,0.6,,0.2,0.8,0.8,475.0,150.0,54.94777202671173,2.949232416034322,45.330210926642984,2.6219312390184215,0.8890215721092591,12861.306603084236,11777.583410497637,-8.426229356251536,0.019632726957266138,0.020100651506120164,0.006747718137293506,0.007215642686147475,1.0693455979241084,1,1,15,15,87.07535974043051,86.90714151034707,2.7012604457795027e-05,1.0315994196147629,0.9875873418360336,0.6000000000000001,0.3234738286819387,0.6,0.37492043284532145,0.017142841172774335,1099,251.94265189999714
width,0.5,0.8,manufacturer,0.09999999999999998,0.9,0.9,475.0,150.0,93.84421950971048,39.095217806238566,83.00049195042752,38.20320462216917,0.9771835729758471,15576.818541950703,13966.133517090768,-10.340269551976355,0.022135751481616554,0.02345483627734222,0.009301732861538984,0.010620817657264681,1.1418106513443187,1,1,13,12,82.32611511265424,79.64636535808434,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.41629422588604204,0.8,0.3459715639810427,0.010615952592119494,994,232.86316639976576
center,0.5,0.8,manufacturer,0.09999999999999998,0.9,0.9,475.0,150.0,93.84421950971048,39.095217806238566,83.00049195042752,38.20320462216917,0.9771835729758471,15576.818541950703,13966.133517090768,-10.340269551976355,0.022135751481616554,0.02345483627734222,0.009301732861538984,0.010620817657264681,1.1418106513443187,1,1,13,12,82.32611511265424,79.64636535808434,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.41629422588604204,0.8,0.3459715639810427,0.010615952592119494,994,232.86316639976576
width,0.5,1.0,extreme,0.0,1.0,1.0,475.0,150.0,126.92392586682578,67.42439895972666,114.23557771236294,64.33993412981457,0.9542529873828838,17886.241210594326,15347.768943896026,-14.19231820039819,0.025901252122382673,0.029848173577564162,0.013101607799267785,0.01704852925444938,1.301254740307688,1,1,11,10,76.03679354636073,70.83131431686796,4.0224074412792266e-05,1.3738423322945048,0.8956641583611481,1.0,0.5309248629140949,1.0,0.2778198334595004,0.005429668130697689,864,202.698223200161
center,0.6,0.8,,0.19999999999999996,1.0,0.8,475.0,150.0,93.84421950971091,37.56509200998256,81.81166431665953,36.43400539164132,0.9698899548005724,15576.818541950734,13596.568112610847,-12.712804119832121,0.024562554710645286,0.02602630813804143,0.010321207014677834,0.011784960442074062,1.1418199853287136,1,1,12,11,79.06415169633723,76.06246673259852,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.40963795578526596,0.8,0.3564290473017988,0.010615952593169544,1006,206.09890320012346
center,0.55,0.8,,0.15000000000000002,0.9500000000000001,0.85,475.0,150.0,93.84421950971091,38.30456536146254,82.42169994033073,37.416532615870175,0.9768165299041405,15576.818541950734,13906.347378897815,-10.724084372903775,0.023317263653055184,0.02470689650021465,0.009798219759700619,0.01118785260686008,1.141825033653044,1,1,13,12,81.7280217913407,78.92363690669714,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.3979718910250384,0.8000000000000003,0.37475728155339805,0.010615952593737462,962,236.0797657002695
center,0.45,0.8,,0.04999999999999999,0.8500000000000001,0.95,475.0,150.0,93.84421950971091,39.649331262108426,83.5499559135259,38.9507139246108,0.9823800978412649,15576.818541950734,14210.701179714351,-8.77019500841728,0.021014107870713734,0.02226595624278358,0.008830403517074946,0.01008225188914483,1.1417657040982603,1,1,14,13,84.71072832469608,82.2212903871818,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.4640502427424032,0.8000000000000003,0.2709433962264151,0.010615952587063042,851,213.3818692001514
center,0.4,0.8,,0.0,0.8,1.0,475.0,150.0,93.84421950971091,40.06393614819561,84.07167354524542,39.500360626516894,0.9859330965486252,15576.818541950734,14436.644519479036,-7.3196848213968435,0.019949103998550363,0.021137741277280055,0.008382956964655405,0.009571594243385186,1.1417921246335114,1,1,15,14,86.93332981660711,84.63191794072607,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.44717568846086114,0.8,0.29745454545454547,0.010615952590035298,943,204.89532490028068
