e_cap_MWh,p_cap_MW,ep_ratio_h,npv_bat_noDeg_MUSD,npv_bat_multiyear_MUSD,npv_bat_planB_MUSD,rev_bat_yr1_kUSD,rev_bat_yrN_kUSD,rev_bat_fade_pct,npv_total_noDeg_MUSD,npv_total_multiyear_MUSD,fd_yr1,n_replacements,final_soh_pct,capex_MUSD,pv_rev_bat_MUSD,pv_rev_total_MUSD,pv_repl_MUSD,dNPV_dEcap_yr1,elapsed_s
150,275,0.5454545454545454,-256.4498318906849,-256.44983189068483,-256.7413294778644,-190733.16684740543,-190733.16684740543,0.0,-65.79936414977168,-65.79936414977168,0.02355951936557557,0,92.38783935690311,71.27199999999999,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.290533100022003
200,275,0.7272727272727273,-270.9048318906849,-270.9048318906848,-271.274073893427,-190733.16684740543,-190733.16684740543,0.0,-80.25436414977167,-80.25436414977167,0.022382254168101655,0,92.54716107811188,85.72699999999999,-185.17783189068487,5.4726358502283174,0.0,-289100.0,6.241482599987648
250,275,0.9090909090909091,-285.3598318906849,-285.3598318906848,-285.7886481446874,-190733.16684740543,-190733.16684740543,0.0,-94.70936414977167,-94.70936414977167,0.020794761846637637,0,92.77475089905613,100.182,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.751367000048049
300,275,1.0909090909090908,-299.8148318906849,-299.81483189068484,-300.2792536745584,-190733.16684740543,-190733.16684740543,0.0,-109.16436414977167,-109.16436414977167,0.018767829464442474,0,93.09113388651816,114.637,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.964068899978884
350,275,1.2727272727272727,-314.2698318906849,-314.2698318906848,-314.8190018543323,-190733.16684740543,-190733.16684740543,0.0,-123.61936414977167,-123.61936414977167,0.01902223105181797,0,93.04961400551937,129.09199999999998,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.70989549998194
400,275,1.4545454545454546,-328.72483189068487,-328.7248318906848,-329.34855259244466,-190733.16684740543,-190733.16684740543,0.0,-138.0743641497717,-138.0743641497717,0.01890396430121698,0,93.068846251722,143.547,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.5801989999599755
450,275,1.6363636363636365,-343.1798318906849,-343.17983189068485,-343.8764959672058,-190733.16684740543,-190733.16684740543,0.0,-152.52936414977168,-152.52936414977168,0.0187686754241615,0,93.09099488842392,158.00199999999998,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.598921500029974
500,275,1.8181818181818181,-357.6348318906849,-357.63483189068484,-358.40615991375427,-190733.16684740543,-190733.16684740543,0.0,-166.9843641497717,-166.9843641497717,0.018702162517924666,0,93.10194273073633,172.457,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.914771000039764
600,275,2.1818181818181817,-386.54483189068486,-386.5448318906848,-387.4442861227982,-190733.16684740543,-190733.16684740543,0.0,-195.8943641497717,-195.8943641497717,0.018174000688102744,0,93.1902927938973,201.367,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.559147299965844
700,275,2.5454545454545454,-415.4548318906849,-415.45483189068483,-415.95212880288227,-190733.16684740543,-190733.16684740543,0.0,-224.8043641497717,-224.8043641497717,0.00861272228213848,0,95.46975763180092,230.277,-185.17783189068487,5.4726358502283174,0.0,-289100.0,6.226718300022185
800,275,2.909090909090909,-444.36483189068485,-444.3648318906848,-444.9331712189105,-190733.16684740543,-190733.16684740543,0.0,-253.71436414977168,-253.71436414977168,0.00861272228213848,0,95.46975763180092,259.187,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.494949799962342
900,275,3.272727272727273,-473.2748318906849,-473.2748318906848,-473.9142136349387,-190733.16684740543,-190733.16684740543,0.0,-282.6243641497717,-282.6243641497717,0.00861272228213848,0,95.46975763180092,288.097,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.948311899905093
1000,275,3.6363636363636362,-502.1848318906849,-502.18483189068485,-502.8952560509669,-190733.16684740543,-190733.16684740543,0.0,-311.5343641497717,-311.5343641497717,0.00861272228213848,0,95.46975763180092,317.007,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.991141999955289
1100,275,4.0,-531.0948318906849,-531.0948318906849,-531.8762984669951,-190733.16684740543,-190733.16684740543,0.0,-340.4443641497717,-340.4443641497717,0.00861272228213848,0,95.46975763180092,345.917,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.683565699961036
1300,275,4.7272727272727275,-588.9148318906848,-588.9148318906848,-589.8383832990515,-190733.16684740543,-190733.16684740543,0.0,-398.26436414977167,-398.26436414977167,0.00861272228213848,0,95.46975763180092,403.73699999999997,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.54486220004037
1500,275,5.454545454545454,-646.7348318906849,-646.7348318906849,-647.8004681311079,-190733.16684740543,-190733.16684740543,0.0,-456.08436414977166,-456.08436414977166,0.00861272228213848,0,95.46975763180092,461.55699999999996,-185.17783189068487,5.4726358502283174,0.0,-289100.0,5.83686029992532
