timestamp,hours_simulated,days_simulated,case,total_cycles,cycles_per_year,soh_pct,capacity_fade_pct,e_cap_degraded_MWh,p_cap_degraded_MW
2026-02-19 20:59:30,2160,90.0,dispatch_fixed,40.183600831058364,162.96682559262558,99.7990819958447,0.2009180041552927,1197.5889839501365,598.7944919750682
2026-02-19 20:59:30,2160,90.0,sizing_opt,50.9655230141603,206.69351000187234,99.7451723849292,0.2548276150707962,643.0122185336721,598.4710343095752
2026-02-19 22:41:40,2160,90.0,dispatch_fixed,40.183600831058364,162.96682559262558,99.7990819958447,0.2009180041552927,1197.5889839501365,598.7944919750682
2026-02-19 22:41:40,2160,90.0,sizing_opt,50.9655230141603,206.69351000187234,99.7451723849292,0.2548276150707962,643.0122185336721,598.4710343095752
2026-02-20 01:21:49,2160,90.0,dispatch_fixed,40.183600831058364,162.96682559262558,99.7990819958447,0.2009180041552927,1197.5889839501365,598.7944919750682
2026-02-20 01:21:49,2160,90.0,sizing_opt,50.9655230141603,206.69351000187234,99.7451723849292,0.2548276150707962,643.0122185336721,598.4710343095752
2026-02-20 01:23:11,2880,120.0,dispatch_fixed,52.00946114612674,158.19544431946883,99.73995269426936,0.2600473057306374,1196.8794323312322,598.4397161656161
2026-02-20 01:23:11,2880,120.0,sizing_opt,66.20243336528378,201.36573481940482,99.66898783317359,0.33101216682641654,642.5210910287406,598.0139269990415
2026-02-20 02:59:22,2880,120.0,dispatch_fixed,52.00946114612674,158.19544431946883,99.73995269426936,0.2600473057306374,1196.8794323312322,598.4397161656161
2026-02-20 02:59:22,2880,120.0,sizing_opt,66.20243336528378,201.36573481940482,99.66898783317359,0.33101216682641654,642.5210910287406,598.0139269990415
2026-02-20 03:11:00,2880,120.0,dispatch_fixed,52.00946114612674,158.19544431946883,99.73995269426936,0.2600473057306374,1196.8794323312322,598.4397161656161
2026-02-20 03:11:00,2880,120.0,sizing_opt,66.20243336528378,201.36573481940482,99.66898783317359,0.33101216682641654,642.5210910287406,598.0139269990415
2026-02-20 03:12:56,2880,120.0,dispatch_fixed,52.00946114612674,158.19544431946883,99.73995269426936,0.2600473057306374,1196.8794323312322,598.4397161656161
2026-02-20 03:12:56,2880,120.0,sizing_opt,66.20243336528378,201.36573481940482,99.66898783317359,0.33101216682641654,642.5210910287406,598.0139269990415
2026-02-20 03:21:03,2880,120.0,dispatch_fixed,52.00946114612674,158.19544431946883,99.73995269426936,0.2600473057306374,1196.8794323312322,598.4397161656161
2026-02-20 03:21:03,2880,120.0,sizing_opt,66.20243336528378,201.36573481940482,99.66898783317359,0.33101216682641654,642.5210910287406,598.0139269990415
