series,center,width,soc_min,soc_max,dod_kernel,e_cap_MWh,p_cap_MW,npv_bat_noDeg_MEUR,npv_bat_multiyear_MEUR,npv_bat_planB_MEUR,rev_bat_yr1_kEUR,rev_bat_yrN_kEUR,rev_fade_pct,fd_yr1,n_replacements,first_repl_yr,final_soh_pct,shi_k3,shi_k4,shi_r2,fit_hi,mean_dod_obs,max_dod_obs,frac_below_convex,frac_fd_below_convex,n_cycles_yr1,elapsed_s
width,0.5,0.6,0.2,0.8,0.8,550.0,175.0,62.149752404527185,2.51528190373414,50.99329360702274,14797.034699527592,13576.575099879861,-8.248001200447918,0.019668577827891547,1,15,87.057713549788,2.7012604457795027e-05,1.0315994196147629,0.9875873418360336,0.6000000000000001,0.3123161746311133,0.6000000000000002,0.3844282238442822,0.018183222112684513,1041,205.28456070018
width,0.5,0.8,0.09999999999999998,0.9,0.9,550.0,175.0,106.88574487683549,43.60752027874533,94.36162603977573,17920.227934814484,16064.496943529486,-10.355509974735188,0.022079730723119202,1,13,82.35302945303332,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.3848983308216518,0.8000000000000005,0.37922403003754696,0.011237189429335855,820,216.71945780003443
center,0.5,0.8,0.09999999999999998,0.9,0.9,550.0,175.0,106.88574487683549,43.60752027874533,94.36162603977573,17920.227934814484,16064.496943529486,-10.355509974735188,0.022079730723119202,1,13,82.35302945303332,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.3848983308216518,0.8000000000000005,0.37922403003754696,0.011237189429335855,820,216.71945780003443
width,0.5,1.0,0.0,1.0,1.0,550.0,175.0,144.3378843420854,76.10508522640002,129.78382619364436,20534.907126235008,17674.89892748621,-13.927543870383053,0.025658466597689937,1,11,76.1687245957023,4.0224074412792266e-05,1.3738423322945048,0.8956641583611481,1.0,0.5103325246476385,1.0,0.27923976608187134,0.0057702020793324,887,203.23974550003186
center,0.6,0.8,0.19999999999999996,1.0,0.8,550.0,175.0,106.88574487683549,41.841010450207605,92.98897691780198,17920.227934814484,15641.62983177635,-12.715229467653089,0.024499679254813424,1,12,79.09472713224935,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.37734204457239234,0.8,0.3914110429447853,0.011237189429335845,1060,197.21602019993588
center,0.55,0.8,0.15000000000000002,0.9500000000000001,0.85,550.0,175.0,106.88574487683549,42.7046818130479,93.69314189752495,17920.227934814484,15995.947265031367,-10.738036797203476,0.02325825274495574,1,13,81.75554869088502,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.39605121226851225,0.8000000000000002,0.36123631680618157,0.011237189429335848,973,212.4166683999356
center,0.45,0.8,0.04999999999999999,0.8500000000000001,0.95,550.0,175.0,106.88574487683505,44.262645188308625,94.9965966982865,17920.227934814455,16354.602445063294,-8.736638258431672,0.020960292194995126,1,14,84.7330981725931,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.3806110969387373,0.8000000000000004,0.38613861386138615,0.011237189429335853,829,272.5794025999494
center,0.4,0.8,0.0,0.8,1.0,550.0,175.0,106.88574487683549,44.76847885031231,95.61315656133391,17920.227934814484,16613.788303315014,-7.290306999730656,0.019873311471810276,1,15,86.9585842919035,3.241779477729208e-05,1.178528617001297,0.9631631714210864,0.8,0.4529734766678074,0.8000000000000002,0.26843657817109146,0.011254851333063474,836,187.59376699989662
