case,e_cap_MWh,soc_min,soc_max,k3,k4,k_sigma,k_sigma_from_fallback,n_cycles,n_full,n_half,n_other,sum_count,f_cyc,f_cal,sigma_bar,sigma_phi,complete_deriv,no_coupling_deriv,no_coupling_error_pct,no_coupling_closed_form_pct,calendar_slope,total_slope,central_min_relerr,central_h_at_min,forward_min_relerr,forward_h_at_min,repartition_n_records,repartition_n_zero,repartition_sum_count,repartition_probes_moved,repartition_worst_d_count,repartition_worst_throughput_rel,repartition_worst_wear_rel,withcal_central_min_relerr,withcal_central_h_at_min,withcal_forward_min_relerr,withcal_forward_h_at_min,shipped_slope,shipped_relerr,zero_depth_records,zero_depth_contrib,zero_depth_rel
dk2019,300.0,0.1,0.9,3.241779477729208e-05,1.178528617001297,1.04,False,916,518,398,0,717.0,0.010928556420035668,0.012675498193756468,0.47156770065250925,0.5008048282933726,0.018571613257812897,0.01287961648352528,30.648908607296402,30.648908607296388,0.006216449759368963,0.02478806301718186,3.4612993622809686e-12,1e-05,7.253366903095714e-09,1.7012542798525856e-08,916,158,717.0,4,0.0,1.5864760437801869e-16,3.367332924386001e-16,2.05229834300621e-12,1e-05,4.593237402410138e-09,1.7012542798525856e-08,0.024788063016949045,9.39217268015336e-12,158,2.3281184632854547e-13,9.392095145440442e-12
dk2022,300.0,0.1,0.9,3.241779477729208e-05,1.178528617001297,1.04,False,980,573,407,0,776.5,0.011597386987983918,0.012844844397771747,0.4843289148063036,0.506862154487663,0.01978126006514051,0.013667852447777525,30.905046479502722,30.90504647950273,0.006469974729949763,0.026251234795090273,1.7318067246868608e-12,2.4244620170823257e-06,1.0488313319929072e-08,1.7012542798525856e-08,980,171,776.5,6,0.0,2.9999374220282583e-16,1.595631706795491e-16,4.7280059863089495e-12,1e-05,4.83444149737783e-09,1.7012542798525856e-08,0.02625123479484825,9.21943986115446e-12,171,2.420169301575646e-13,9.219258905216474e-12
