x,y
-4011.87140371261,-3981.907147178537
-3871.1392080447504,-2844.1844525611405
-3730.407012376891,-1706.4617579437445
-3589.6748167090313,-568.7390633263481
-3448.942621041172,568.9836312910481
-3308.2104253733123,1706.7063259084446
-3167.478229705453,2844.4290205258403
-3026.7460340375933,3982.151715143237
-3006.3546268911523,-3981.942085459208
-2865.6224312232926,-2844.219390841812
-2724.8902355554333,-1706.496696224416
-2584.1580398875735,-568.7740016070195
-2443.425844219714,568.9486930103767
-2302.6936485518545,1706.6713876277731
-2161.9614528839948,2844.394082245169
-2021.2292572161355,3982.1167768625655
-2000.837850069695,-3981.9770237398793
-1860.1056544018354,-2844.2543291224833
-1719.373458733976,-1706.5316345050874
-1578.6412630661162,-568.808939887691
-1437.9090673982566,568.9137547297053
-1297.1768717303971,1706.6364493471017
-1156.4446760625376,2844.359143964498
-1015.7124803946781,3982.0818385818943
-995.3210732482372,-3982.0119620205514
-854.5888775803777,-2844.289267403155
-713.8566819125182,-1706.5665727857588
-573.1244862446586,-568.8438781683625
-432.39229057679904,568.8788164490338
-291.66009490893947,1706.6015110664302
-150.92789924107998,2844.324205683826
-10.195703573220403,3982.0469003012226
10.195703573220403,-3982.0469003012226
150.92789924107998,-2844.324205683826
291.66009490893947,-1706.6015110664302
432.39229057679904,-568.8788164490338
573.1244862446586,568.8438781683625
713.8566819125182,1706.5665727857588
854.5888775803777,2844.289267403155
995.3210732482372,3982.0119620205514
1015.7124803946781,-3982.0818385818943
1156.4446760625376,-2844.359143964498
1297.1768717303971,-1706.6364493471017
1437.9090673982566,-568.9137547297053
1578.6412630661162,568.808939887691
1719.373458733976,1706.5316345050874
1860.1056544018354,2844.2543291224833
2000.837850069695,3981.9770237398793
2021.2292572161355,-3982.1167768625655
2161.9614528839948,-2844.394082245169
2302.6936485518545,-1706.6713876277731
2443.425844219714,-568.9486930103767
2584.1580398875735,568.7740016070195
2724.8902355554333,1706.496696224416
2865.6224312232926,2844.219390841812
3006.3546268911523,3981.942085459208
3026.7460340375933,-3982.151715143237
3167.478229705453,-2844.4290205258403
3308.2104253733123,-1706.7063259084446
3448.942621041172,-568.9836312910481
3589.6748167090313,568.7390633263481
3730.407012376891,1706.4617579437445
3871.1392080447504,2844.1844525611405
4011.87140371261,3981.907147178537
4032.26281085905,-3982.1866534239084
